AbbVie PE Ratio Historical Data,AbbVie PE Ratio Historical Data,AbbVie PE Ratio Historical Data,AbbVie PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,157.06,,46.61
2024-03-31,180.38,$3.37,53.52
2023-12-31,152.05,$2.73,55.7
2023-09-30,144.81,$3.65,39.67
2023-06-30,129.45,$4.86,26.64
2023-03-31,151.75,$4.23,35.87
2022-12-31,152.4,$6.61,23.06
2022-09-30,125.32,$7.49,16.73
2022-06-30,141.69,$7.06,20.07
2022-03-31,148.65,$6.97,21.33
2021-12-31,122.86,$6.45,19.05
2021-09-30,96.73,$4.20,23.03
2021-06-30,99.9,$3.71,26.93
2021-03-31,94.81,$2.83,33.5
2020-12-31,92.8,$2.86,32.45
2020-09-30,74.83,$4.73,15.82
2020-06-30,82.89,$4.70,17.64
2020-03-31,63.41,$5.65,11.22
2019-12-31,72.72,$5.28,13.77
2019-09-30,61.3,$2.17,28.25
2019-06-30,57.99,$2.72,21.32
2019-03-31,63.42,$3.49,18.17
2018-12-31,71.65,$3.58,20.01
2018-09-30,72.73,$4.84,15.03
2018-06-30,70.54,$4.04,17.46
2018-03-31,71.32,$3.97,17.97
2017-12-31,72.36,$3.29,21.99
2017-09-30,66.02,$4.11,16.06
2017-06-30,53.4,$4.07,13.12
2017-03-31,47.51,$3.86,12.31
2016-12-31,45.19,$3.72,12.15
2016-09-30,45.09,$3.61,12.49
2016-06-30,43.88,$3.47,12.64
2015-12-31,41.12,$3.12,13.18
2015-09-30,37.42,$1.69,22.14
2015-06-30,45.87,$1.78,25.77
2015-03-31,39.63,$1.26,31.45
2014-12-31,43.96,$1.31,33.56
2016-03-31,40.09,$2.43,16.5
2014-09-30,38.51,$2.30,16.74
2014-06-30,37.35,$2.59,14.42
2014-03-31,33.71,$2.57,13.12
2013-12-31,34.35,$2.56,13.42
