RTX PE Ratio Historical Data,RTX PE Ratio Historical Data,RTX PE Ratio Historical Data,RTX PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,106.27,,41.67
2024-03-31,96.94,$2.55,38.02
2023-12-31,83.09,$2.24,37.09
2023-09-30,70.55,$2.15,32.81
2023-06-30,95.37,$3.77,25.3
2023-03-31,94.76,$3.75,25.27
2022-12-31,97.11,$3.50,27.75
2022-09-30,78.32,$3.00,26.11
2022-06-30,91.42,$2.99,30.57
2022-03-31,93.66,$2.79,33.57
2021-12-31,80.93,$2.57,31.49
2021-09-30,80.36,$2.20,36.53
2021-06-30,79.27,$1.44,55.05
2021-03-31,71.37,$-1.79,0.0
2020-12-31,65.62,$-2.39,0.0
2020-09-30,52.42,$-1.16,0.0
2020-06-30,55.71,$0.00,0.0
2020-03-31,84.54,$4.75,17.8
2019-12-31,133.58,$6.41,20.84
2019-09-30,121.17,$5.92,20.47
2019-06-30,115.56,$6.13,18.85
2019-03-31,113.78,$6.49,17.53
2018-12-31,93.44,$6.55,14.27
2018-09-30,122.0,$6.22,19.61
2018-06-30,108.53,$6.35,17.09
2018-03-31,108.61,$5.59,19.43
2017-12-31,109.53,$5.70,19.22
2017-09-30,99.08,$6.45,15.36
2017-06-30,103.61,$6.56,15.79
2017-03-31,94.69,$6.41,14.77
2016-12-31,91.96,$6.11,15.05
2016-09-30,84.71,$8.72,9.71
2016-06-30,84.99,$8.48,10.02
2016-03-31,82.41,$8.56,9.63
2015-12-31,78.52,$8.71,9.01
2015-09-30,72.26,$6.47,11.17
2015-06-30,89.5,$6.97,12.84
2015-03-31,94.05,$7.08,13.28
2014-12-31,91.79,$6.82,13.46
2014-09-30,83.83,$6.80,12.33
2014-06-30,91.14,$6.33,14.4
2014-03-31,91.77,$6.20,14.8
2013-12-31,88.92,$6.27,14.18
2013-09-30,83.79,$6.93,12.09
2013-06-30,71.86,$6.92,10.38
2013-03-31,71.83,$6.68,10.75
2012-12-31,62.68,$5.66,11.07
2012-09-30,59.41,$4.87,12.2
2012-06-30,56.93,$4.78,11.91
2012-03-31,62.11,$4.76,13.05
2011-12-31,54.42,$5.50,9.89
2011-09-30,52.06,$5.34,9.75
2011-06-30,65.06,$5.17,12.58
2011-03-31,61.88,$4.92,12.58
2010-12-31,57.26,$4.74,12.08
2010-09-30,51.52,$4.58,11.25
2010-06-30,46.66,$4.42,10.56
2010-03-31,52.61,$4.27,12.32
2009-12-31,49.3,$4.12,11.97
