Tyson Foods PE Ratio Historical Data,Tyson Foods PE Ratio Historical Data,Tyson Foods PE Ratio Historical Data,Tyson Foods PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,59.71,,0.0
2024-03-31,58.73,$-2.36,0.0
2023-09-30,49.52,$-1.89,0.0
2023-06-30,49.61,$0.92,53.93
2023-03-31,57.12,$2.40,23.8
2022-12-31,59.46,$4.75,12.52
2022-09-30,62.52,$6.15,10.17
2023-12-31,53.27,$7.72,6.9
2022-06-30,81.12,$11.13,7.29
2022-03-31,84.05,$11.11,7.57
2021-12-31,81.33,$10.13,8.03
2021-09-30,73.23,$8.34,8.78
2021-06-30,68.04,$6.53,10.42
2021-03-31,68.16,$5.92,11.51
2020-12-31,58.73,$5.62,10.45
2020-09-30,53.84,$5.86,9.19
2020-06-30,53.69,$4.97,10.8
2020-03-31,51.68,$5.37,9.62
2019-12-31,80.81,$5.54,14.59
2019-09-30,76.11,$5.52,13.79
2019-06-30,71.05,$5.98,11.88
2019-03-31,60.8,$5.61,10.84
2018-12-31,46.48,$5.29,8.79
2018-09-30,51.81,$8.19,6.33
2018-06-30,59.64,$7.79,7.66
2018-03-31,63.12,$7.53,8.38
2017-12-31,69.63,$7.60,9.16
2017-09-30,60.35,$4.23,14.27
2017-06-30,53.45,$4.41,12.12
2017-03-31,52.47,$4.30,12.2
2016-09-30,63.02,$4.53,13.91
2016-06-30,56.25,$4.13,13.62
2016-03-31,56.01,$4.47,12.53
2015-12-31,44.71,$4.20,10.65
2015-09-30,36.03,$3.80,9.48
2016-12-31,52.25,$3.91,13.36
2015-06-30,35.55,$2.67,13.31
2015-03-31,31.86,$2.57,12.4
2014-12-31,33.27,$2.42,13.75
2014-09-30,32.6,$2.40,13.58
2014-06-30,31.02,$2.75,11.28
2014-03-31,36.3,$2.70,13.44
2013-12-31,27.55,$2.36,11.67
2013-09-30,23.23,$2.12,10.96
2013-06-30,21.05,$1.93,10.91
2013-03-31,20.31,$1.46,13.91
2012-12-31,15.84,$1.64,9.66
2012-09-30,12.98,$1.58,8.21
2012-06-30,15.21,$1.33,11.44
2012-03-31,15.44,$1.63,9.47
2011-12-31,16.61,$1.61,10.32
2011-09-30,13.94,$1.97,7.08
2011-06-30,15.56,$2.28,6.82
2011-03-31,15.34,$2.42,6.34
2010-12-31,13.74,$2.42,5.68
2010-09-30,12.75,$0.42,30.35
2010-06-30,13.01,$0.20,65.06
2010-03-31,15.17,$-0.73,0.0
2009-09-30,9.95,$-0.73,0.0
