Digital Realty Trust PE Ratio Historical Data,Digital Realty Trust PE Ratio Historical Data,Digital Realty Trust PE Ratio Historical Data,Digital Realty Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,142.77,,39.66
2024-03-31,144.04,$3.60,40.01
2023-12-31,133.44,$2.97,44.93
2023-09-30,118.9,$2.87,41.43
2023-06-30,110.83,$1.29,85.91
2023-03-31,94.59,$1.11,85.21
2022-12-31,95.37,$1.14,83.66
2022-09-30,93.25,$4.87,19.15
2022-06-30,120.8,$4.56,26.49
2022-03-31,130.65,$4.82,27.11
2021-12-31,161.48,$5.92,27.28
2021-09-30,130.97,$2.37,55.26
2021-06-30,135.41,$1.79,75.65
2021-03-31,125.85,$1.54,81.72
2020-12-31,123.59,$1.12,110.35
2020-09-30,128.89,$2.46,52.39
2020-06-30,123.84,$2.84,43.61
2020-03-31,120.06,$2.79,43.03
2019-12-31,102.6,$2.35,43.66
2019-09-30,110.19,$1.00,110.19
2019-06-30,99.14,$1.09,90.96
2019-03-31,99.26,$1.26,78.78
2018-12-31,88.05,$1.22,72.17
2018-09-30,92.14,$1.33,69.28
2018-06-30,90.66,$0.98,92.51
2018-03-31,84.82,$1.02,83.16
2017-12-31,90.81,$1.01,89.91
2017-09-30,93.58,$1.24,75.47
2017-06-30,88.65,$2.51,35.32
2017-03-31,82.83,$2.34,35.4
2016-12-31,75.82,$2.20,34.46
2016-09-30,74.26,$1.43,51.93
2016-06-30,82.56,$0.46,179.47
2016-03-31,66.45,$1.13,58.8
2015-12-31,56.2,$1.61,34.91
2015-09-30,47.97,$1.50,31.98
2015-06-30,48.3,$2.02,23.91
2015-03-31,47.16,$1.47,32.08
2014-12-31,46.79,$0.98,47.74
2014-09-30,43.48,$1.70,25.58
2014-06-30,40.15,$1.96,20.48
2014-03-31,36.01,$2.02,17.83
2013-12-31,32.81,$2.10,15.62
2013-09-30,34.87,$2.13,16.37
2013-06-30,39.49,$1.44,27.43
2013-03-31,42.75,$1.45,29.48
2012-12-31,42.89,$1.47,29.17
2012-09-30,43.65,$1.45,30.1
2012-06-30,46.44,$1.39,33.41
2012-03-31,45.3,$1.34,33.8
2011-12-31,40.42,$1.32,30.62
2011-09-30,33.09,$1.25,26.47
2011-06-30,36.62,$1.05,34.88
2011-03-31,34.09,$0.83,41.07
2010-12-31,29.86,$0.67,44.56
2010-09-30,35.39,$0.58,61.01
2010-06-30,32.8,$0.63,52.07
2010-03-31,30.59,$0.65,47.06
2009-12-31,28.13,$0.61,46.12
