Tractor Supply PE Ratio Historical Data,Tractor Supply PE Ratio Historical Data,Tractor Supply PE Ratio Historical Data,Tractor Supply PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,282.0,,27.46
2024-03-31,260.7,$10.27,25.38
2023-12-31,213.23,$10.09,21.13
2023-09-30,200.31,$10.24,19.56
2023-06-30,217.07,$10.01,21.69
2023-03-31,229.64,$9.71,23.65
2022-12-31,218.82,$9.99,21.9
2022-09-30,180.04,$9.51,18.93
2022-06-30,186.92,$10.60,17.63
2021-12-31,227.85,$8.62,26.43
2021-09-30,193.05,$7.84,24.62
2021-06-30,176.81,$7.54,23.45
2021-03-31,167.81,$5.97,28.11
2020-12-31,132.81,$7.32,18.14
2022-03-31,223.82,$6.88,32.53
2020-09-30,135.01,$6.44,20.96
2020-06-30,123.8,$5.84,21.2
2020-03-31,79.18,$4.74,16.7
2019-12-31,87.2,$4.66,18.71
2019-09-30,84.1,$4.56,18.44
2019-06-30,100.8,$4.49,22.45
2019-03-31,90.26,$4.38,20.61
2018-12-31,76.79,$4.32,17.78
2018-09-30,83.35,$4.08,20.43
2018-06-30,69.91,$3.85,18.16
2018-03-31,57.35,$3.41,16.82
2017-12-31,67.75,$3.30,20.53
2017-09-30,57.13,$3.37,16.95
2017-06-30,48.69,$3.32,14.67
2017-03-31,61.66,$3.23,19.09
2016-12-31,67.55,$3.27,20.66
2016-09-30,59.8,$3.15,18.98
2016-06-30,80.73,$3.12,25.87
2016-03-31,79.89,$3.08,25.94
2015-12-31,75.33,$3.39,22.22
2015-09-30,74.1,$3.12,23.75
2015-06-30,78.89,$3.43,23.0
2014-12-31,68.85,$2.66,25.88
2014-09-30,53.62,$2.53,21.19
2014-06-30,52.51,$2.40,21.88
2014-03-31,61.25,$1.91,32.07
2013-12-31,67.15,$2.44,27.58
2015-03-31,74.44,$2.07,36.05
2013-09-30,58.03,$2.20,26.38
2013-06-30,50.67,$2.09,24.3
2013-03-31,44.78,$1.94,23.14
2012-12-31,37.92,$1.90,19.96
2012-09-30,42.35,$1.83,23.2
2012-06-30,35.49,$1.77,20.05
2012-03-31,38.61,$1.66,23.26
2011-12-31,29.87,$1.51,19.85
2011-09-30,26.58,$1.36,19.54
2011-06-30,28.37,$1.29,22.08
2011-03-31,25.34,$1.18,21.43
2010-12-31,20.5,$1.13,18.22
2010-09-30,16.74,$1.05,15.94
2010-06-30,12.84,$0.99,13.04
2010-03-31,12.2,$0.85,14.4
2009-12-31,11.11,$0.79,14.11
