TE Connectivity PE Ratio Historical Data,TE Connectivity PE Ratio Historical Data,TE Connectivity PE Ratio Historical Data,TE Connectivity PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,150.87,,13.8
2024-03-31,144.61,$10.93,13.23
2023-12-31,139.32,$10.54,13.22
2023-09-30,121.94,$6.02,20.26
2023-06-30,137.73,$6.48,21.25
2023-03-31,128.26,$6.64,19.32
2022-12-31,111.79,$6.99,15.99
2022-09-30,106.99,$7.47,14.32
2022-06-30,109.25,$7.66,14.26
2022-03-31,125.89,$7.57,16.63
2021-12-31,154.53,$7.37,20.97
2021-09-30,131.03,$6.79,19.3
2021-06-30,128.67,$5.08,25.33
2021-03-31,122.41,$3.22,38.02
2020-12-31,114.36,$0.34,336.35
2020-09-30,91.93,$-0.72,0.0
2020-06-30,76.3,$-0.31,0.0
2020-03-31,58.56,$2.04,28.71
2019-12-31,88.67,$4.70,18.87
2019-09-30,85.78,$5.42,15.83
2019-06-30,87.73,$9.07,9.67
2019-03-31,73.57,$8.13,9.05
2018-12-31,68.54,$8.22,8.34
2018-09-30,79.22,$7.31,10.84
2018-06-30,80.75,$3.78,21.36
2018-03-31,89.16,$3.71,24.03
2017-12-31,84.49,$3.46,24.42
2017-09-30,73.84,$4.71,15.68
2017-06-30,69.94,$4.71,14.85
2017-03-31,66.27,$5.81,11.41
2016-12-31,61.29,$5.71,10.73
2016-09-30,56.64,$5.48,10.34
2016-06-30,49.95,$6.83,7.31
2016-03-31,54.16,$5.26,10.3
2015-12-31,56.51,$5.68,9.95
2015-09-30,52.38,$5.91,8.86
2015-06-30,56.24,$4.93,11.41
2015-03-31,62.64,$5.15,12.16
2014-12-31,55.1,$4.57,12.06
2014-09-30,47.95,$4.27,11.23
2014-06-30,53.38,$3.60,14.83
2014-03-31,51.71,$3.43,15.08
2013-12-31,47.33,$3.21,14.75
2013-09-30,44.26,$3.02,14.66
2013-06-30,38.73,$3.02,12.82
2013-03-31,35.46,$2.68,13.23
2012-12-31,31.23,$2.63,11.87
2012-09-30,28.44,$2.59,10.98
2012-06-30,26.53,$2.42,10.96
2012-03-31,30.35,$2.76,11.0
2011-12-31,25.32,$2.83,8.95
2011-09-30,22.99,$2.81,8.18
2011-06-30,29.86,$2.72,10.98
2011-03-31,28.15,$2.64,10.66
2010-12-31,28.49,$2.63,10.83
2010-09-30,23.4,$2.41,9.71
2010-06-30,20.2,$1.95,10.36
2010-03-31,21.75,$1.07,20.33
2009-12-31,19.31,$-6.66,0.0
