Molina Healthcare PE Ratio Historical Data,Molina Healthcare PE Ratio Historical Data,Molina Healthcare PE Ratio Historical Data,Molina Healthcare PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,332.13,,18.02
2024-03-31,410.83,$18.43,22.29
2023-12-31,361.31,$18.78,19.24
2023-09-30,327.89,$16.04,20.44
2023-06-30,301.24,$15.78,19.09
2023-03-31,267.49,$14.68,18.22
2022-12-31,330.22,$13.55,24.37
2022-09-30,329.84,$14.33,23.02
2022-06-30,279.61,$12.84,21.78
2022-03-31,333.59,$11.75,28.39
2021-12-31,318.08,$11.25,28.27
2021-09-30,271.31,$10.07,26.94
2021-06-30,253.06,$10.71,23.63
2021-03-31,233.76,$12.20,19.16
2020-12-31,212.68,$11.23,18.94
2020-09-30,183.04,$13.34,13.72
2020-06-30,177.98,$12.99,13.7
2020-03-31,139.71,$11.40,12.26
2019-12-31,135.69,$11.47,11.83
2019-09-30,109.72,$11.81,9.29
2019-06-30,143.14,$11.96,11.97
2019-03-31,141.96,$11.92,11.91
2018-12-31,116.22,$10.57,11.0
2018-09-30,148.7,$2.97,50.07
2018-06-30,97.94,$-1.63,0.0
2018-03-31,81.18,$-8.75,0.0
2017-12-31,76.68,$-9.02,0.0
2017-09-30,68.76,$-6.07,0.0
2017-06-30,69.18,$-3.61,0.0
2017-03-31,45.6,$0.92,49.57
2016-12-31,54.26,$0.06,904.33
2016-09-30,58.32,$2.47,23.61
2016-03-31,64.49,$2.43,26.54
2015-12-31,60.13,$2.56,23.49
2015-09-30,68.85,$2.74,25.13
2015-06-30,70.3,$2.55,27.57
2015-03-31,67.29,$2.16,31.15
2014-12-31,53.53,$1.76,30.41
2016-06-30,49.9,$1.16,43.02
2014-09-30,42.3,$0.38,111.32
2014-06-30,44.63,$0.21,212.52
2014-03-31,37.56,$0.58,64.76
2013-12-31,34.75,$1.13,30.75
2013-09-30,35.6,$1.87,19.04
2013-06-30,37.18,$1.78,20.89
2013-03-31,30.87,$0.45,68.6
2012-12-31,27.06,$0.20,135.3
2012-09-30,25.15,$-1.06,0.0
2012-06-30,23.46,$-0.72,0.0
2012-03-31,33.63,$0.46,73.11
2011-12-31,22.33,$0.44,50.37
2011-09-30,15.44,$1.55,9.96
2011-06-30,27.12,$1.52,17.84
2011-03-31,26.67,$1.41,18.87
2010-12-31,18.57,$1.31,14.14
2010-09-30,17.99,$0.81,22.31
2010-06-30,19.2,$0.65,29.69
2010-03-31,16.78,$0.75,22.48
2009-12-31,15.25,$0.78,19.55
