ConocoPhillips PE Ratio Historical Data,ConocoPhillips PE Ratio Historical Data,ConocoPhillips PE Ratio Historical Data,ConocoPhillips PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,117.25,,13.28
2024-03-31,126.47,$8.83,14.32
2023-12-31,114.53,$9.06,12.64
2023-09-30,117.62,$9.15,12.85
2023-06-30,100.78,$10.38,9.71
2023-03-31,95.45,$12.50,7.64
2022-12-31,112.33,$14.51,7.74
2022-09-30,96.47,$13.88,6.95
2022-06-30,83.14,$12.11,6.87
2022-03-31,91.48,$9.70,9.43
2021-12-31,65.51,$6.06,10.81
2021-09-30,60.96,$3.36,18.14
2021-06-30,54.36,$1.16,46.86
2021-03-31,46.91,$-0.15,0.0
2020-12-31,35.09,$-2.50,0.0
2020-09-30,28.45,$-1.13,0.0
2020-06-30,36.03,$2.03,17.75
2020-03-31,26.15,$3.19,8.2
2019-12-31,54.83,$6.39,8.58
2019-09-30,47.68,$7.35,6.49
2019-06-30,50.78,$6.20,8.19
2019-03-31,55.29,$6.19,8.93
2018-12-31,51.42,$5.34,9.63
2018-09-30,63.56,$5.05,12.59
2018-06-30,56.94,$3.80,14.98
2018-03-31,48.3,$-0.37,0.0
2017-12-31,44.47,$-0.50,0.0
2017-09-30,40.33,$-1.85,0.0
2017-06-30,35.21,$-3.03,0.0
2017-03-31,39.72,$-1.11,0.0
2016-12-31,39.72,$-2.91,0.0
2016-09-30,34.24,$-5.66,0.0
2016-06-30,34.13,$-5.69,0.0
2016-03-31,31.34,$-4.98,0.0
2015-12-31,36.06,$-3.58,0.0
2015-09-30,36.55,$-0.83,0.0
2015-06-30,46.17,$2.21,20.89
2015-03-31,46.28,$4.03,11.48
2014-12-31,50.79,$5.52,9.2
2014-09-30,55.71,$7.55,7.38
2014-06-30,61.88,$7.38,8.39
2014-03-31,50.34,$7.36,6.84
2013-12-31,50.02,$7.38,6.78
2013-09-30,48.74,$6.54,7.45
2013-06-30,41.98,$6.00,7.0
2013-03-31,41.27,$6.15,6.71
2012-12-31,39.37,$6.69,5.88
2012-09-30,38.37,$8.09,4.74
2012-06-30,37.07,$8.54,4.34
2012-03-31,38.25,$9.15,4.18
2011-12-31,36.34,$8.97,4.05
2011-09-30,31.27,$7.80,4.01
2011-06-30,36.81,$7.94,4.64
2011-03-31,38.75,$8.30,4.67
2010-12-31,32.76,$7.61,4.3
2010-09-30,27.37,$7.03,3.89
2010-06-30,23.16,$5.98,3.87
2010-03-31,23.89,$4.08,5.85
2009-12-31,23.6,$3.24,7.28
