Henry Schein PE Ratio Historical Data,Henry Schein PE Ratio Historical Data,Henry Schein PE Ratio Historical Data,Henry Schein PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,71.72,,24.23
2024-03-31,75.52,$2.96,25.51
2023-12-31,75.71,$3.15,24.03
2023-09-30,74.25,$3.36,22.1
2023-06-30,81.1,$3.40,23.85
2023-03-31,81.54,$3.50,23.3
2022-12-31,79.87,$3.89,20.53
2022-09-30,65.77,$4.60,14.3
2022-06-30,76.74,$4.66,16.47
2022-03-31,87.19,$4.60,18.95
2021-12-31,77.53,$4.46,17.38
2021-09-30,76.16,$4.41,17.27
2021-06-30,74.19,$4.25,17.46
2021-03-31,69.24,$3.07,22.55
2020-12-31,66.86,$2.82,23.71
2020-09-30,58.78,$4.06,14.48
2020-06-30,58.39,$4.02,14.52
2020-03-31,50.52,$4.87,10.37
2019-12-31,66.72,$4.69,14.23
2019-09-30,63.5,$3.32,19.13
2019-06-30,69.9,$3.16,22.12
2019-03-31,60.11,$3.31,18.16
2018-12-31,78.52,$2.52,31.16
2018-09-30,85.03,$2.52,33.74
2018-06-30,72.64,$2.59,28.1
2017-12-31,69.88,$2.55,27.46
2017-09-30,81.99,$3.47,23.63
2017-06-30,91.51,$3.51,26.07
2017-03-31,84.99,$3.47,24.49
2016-12-31,75.86,$3.32,22.85
2018-03-31,67.21,$3.14,21.4
2016-09-30,81.49,$3.01,27.07
2016-06-30,88.4,$2.96,29.92
2016-03-31,86.32,$2.93,29.51
2015-12-31,79.1,$2.85,27.75
2015-09-30,66.36,$2.85,23.28
2015-06-30,71.06,$2.76,25.75
2015-03-31,69.81,$2.74,25.52
2014-12-31,68.08,$2.72,25.07
2014-09-30,58.24,$2.65,21.98
2014-06-30,59.33,$2.60,22.86
2014-03-31,59.69,$2.54,23.54
2013-12-31,57.13,$2.46,23.22
2013-09-30,51.88,$2.38,21.85
2013-06-30,47.87,$2.30,20.81
2013-03-31,46.28,$2.23,20.8
2012-12-31,40.21,$2.16,18.66
2012-09-30,39.61,$2.10,18.86
2012-06-30,39.25,$2.06,19.1
2012-03-31,37.84,$2.02,18.73
2011-12-31,32.22,$1.99,16.23
2011-09-30,31.01,$1.91,16.23
2011-06-30,35.8,$1.89,18.99
2011-03-31,35.09,$1.83,19.17
2010-12-31,30.7,$1.75,17.54
2010-09-30,29.29,$1.72,17.03
2010-06-30,27.45,$1.78,15.46
2010-03-31,29.45,$1.73,17.02
2009-12-31,26.3,$1.71,15.43
