Match Group PE Ratio Historical Data,Match Group PE Ratio Historical Data,Match Group PE Ratio Historical Data,Match Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,29.4,,12.78
2024-03-31,36.28,$2.30,15.77
2023-12-31,36.5,$2.28,16.01
2023-09-30,39.18,$1.77,22.13
2023-06-30,41.85,$1.64,25.52
2023-03-31,38.39,$1.05,36.56
2022-12-31,41.49,$1.23,33.73
2022-09-30,47.75,$0.33,144.7
2022-06-30,69.69,$0.32,217.78
2022-03-31,108.74,$0.89,122.18
2021-12-31,132.25,$0.86,153.78
2021-09-30,156.99,$1.94,80.92
2021-06-30,161.25,$1.97,81.85
2021-03-31,137.38,$1.83,75.07
2020-12-31,151.19,$2.31,65.45
2020-09-30,110.65,$3.18,34.8
2020-06-30,92.35,$3.91,23.62
2019-12-31,71.13,$4.50,15.81
2019-09-30,62.24,$5.49,11.34
2019-06-30,62.12,$1.65,37.65
2019-03-31,60.0,$1.95,30.77
2018-12-31,52.27,$3.36,15.56
2020-03-31,51.18,$2.03,25.21
2018-09-30,61.88,$4.89,12.66
2018-06-30,43.54,$5.19,8.39
2018-03-31,44.65,$3.57,12.51
2017-12-31,34.92,$3.15,11.08
2017-09-30,33.58,$3.96,8.48
2017-06-30,29.48,$2.66,11.08
2017-03-31,21.05,$-0.49,0.0
2016-12-31,18.5,$-0.69,0.0
