Sempra Energy PE Ratio Historical Data,Sempra Energy PE Ratio Historical Data,Sempra Energy PE Ratio Historical Data,Sempra Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,75.84,,16.8
2024-03-31,71.83,$4.52,15.91
2023-12-31,74.07,$4.79,15.46
2023-09-30,66.87,$4.33,15.46
2023-06-30,70.37,$3.95,17.81
2023-03-31,73.06,$3.88,18.83
2022-12-31,74.09,$3.31,22.38
2022-09-30,71.36,$3.57,20.02
2022-06-30,70.48,$1.79,39.48
2022-03-31,78.85,$1.59,49.75
2021-12-31,61.59,$2.06,29.97
2021-09-30,58.41,$1.82,32.09
2021-06-30,60.15,$3.44,17.49
2021-03-31,60.2,$6.56,9.18
2020-12-31,57.36,$6.39,8.98
2020-09-30,52.87,$6.45,8.2
2020-06-30,51.89,$7.27,7.14
2020-03-31,49.58,$4.09,12.12
2019-12-31,65.78,$3.62,18.17
2019-09-30,63.69,$4.36,14.61
2019-06-30,58.48,$3.44,17.03
2019-03-31,53.56,$1.75,30.6
2018-12-31,45.69,$1.62,28.2
2018-09-30,47.64,$-0.89,0.0
2018-06-30,48.25,$-1.28,0.0
2018-03-31,45.86,$0.30,155.46
2017-12-31,43.73,$0.51,86.6
2017-09-30,46.33,$2.26,20.54
2017-06-30,45.11,$3.38,13.37
2017-03-31,44.21,$2.89,15.3
2016-12-31,39.97,$2.65,15.08
2016-09-30,42.26,$2.63,16.07
2016-06-30,44.64,$1.90,23.56
2016-03-31,40.46,$2.45,16.51
2015-12-31,36.29,$2.69,13.52
2015-09-30,37.07,$2.54,14.59
2015-06-30,37.63,$2.74,13.73
2015-03-31,41.17,$2.70,15.28
2014-12-31,41.79,$2.32,18.01
2014-09-30,39.31,$2.30,17.13
2014-06-30,38.81,$2.20,17.68
2014-03-31,35.64,$2.15,16.62
2013-12-31,32.84,$2.01,16.34
2013-09-30,31.1,$2.04,15.28
2013-06-30,29.49,$1.99,14.85
2013-03-31,28.61,$1.62,17.66
2012-12-31,25.19,$1.75,14.44
2012-09-30,22.71,$1.76,12.9
2012-06-30,24.03,$1.83,13.17
2012-03-31,20.73,$2.76,7.51
2011-12-31,18.82,$2.81,6.7
2011-09-30,17.47,$2.78,6.28
2011-06-30,17.77,$2.43,7.31
2011-03-31,17.81,$1.82,9.81
2010-12-31,17.31,$1.49,11.62
2010-09-30,17.61,$1.50,11.78
2010-06-30,15.21,$1.87,8.13
2010-03-31,16.09,$1.83,8.82
2009-12-31,17.91,$2.26,7.93
