Fair Isaac PE Ratio Historical Data,Fair Isaac PE Ratio Historical Data,Fair Isaac PE Ratio Historical Data,Fair Isaac PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,1384.64,,72.68
2024-03-31,1249.61,$19.05,65.6
2023-12-31,1164.01,$17.89,65.06
2023-09-30,868.53,$16.93,51.3
2023-06-30,809.21,$16.47,49.13
2023-03-31,702.69,$15.00,46.85
2022-12-31,598.58,$14.95,40.04
2022-09-30,412.01,$14.20,29.01
2022-06-30,400.9,$13.65,29.37
2022-03-31,466.46,$15.22,30.65
2021-12-31,433.67,$13.60,31.89
2021-09-30,397.93,$13.41,29.67
2021-06-30,502.68,$12.39,40.57
2021-03-31,486.05,$9.36,51.93
2020-12-31,511.04,$8.97,56.97
2020-09-30,425.38,$7.87,54.05
2020-06-30,418.04,$8.01,52.19
2020-03-31,307.69,$6.96,44.21
2019-09-30,303.52,$6.34,47.87
2019-06-30,314.02,$6.18,50.81
2019-03-31,271.63,$5.10,53.26
2018-12-31,187.0,$5.03,37.18
2018-09-30,228.55,$4.57,50.01
2018-06-30,193.32,$4.18,46.25
2018-03-31,169.37,$3.92,43.21
2017-12-31,153.2,$3.67,41.74
2017-09-30,140.5,$3.81,36.88
2017-06-30,139.41,$3.64,38.3
2017-03-31,128.95,$3.58,36.02
2016-09-30,124.55,$3.39,36.74
2016-06-30,112.96,$3.42,33.03
2016-03-31,106.02,$3.50,30.29
2015-12-31,94.1,$3.40,27.68
2015-09-30,84.41,$3.39,24.9
2016-12-31,119.2,$2.79,42.72
2015-06-30,90.66,$2.73,33.21
2015-03-31,88.58,$2.69,32.93
2014-12-31,72.17,$2.58,27.97
2014-09-30,54.99,$2.94,18.7
2014-06-30,63.61,$2.38,26.73
2013-12-31,62.64,$2.31,27.12
2013-09-30,55.09,$2.49,22.12
2013-06-30,45.65,$2.30,19.85
2013-03-31,45.5,$2.35,19.36
2012-12-31,41.83,$2.39,17.5
2012-09-30,44.03,$2.55,17.27
2012-06-30,42.04,$2.59,16.23
2012-03-31,43.63,$3.82,11.42
2011-12-31,35.6,$3.85,9.25
2011-09-30,21.67,$3.23,6.71
2019-12-31,374.68,$2.99,125.31
2011-06-30,29.96,$1.55,19.33
2011-03-31,31.34,$1.37,22.87
2010-12-31,23.15,$1.77,13.08
2010-09-30,24.41,$1.65,14.79
2010-06-30,21.55,$1.64,13.14
2014-03-31,55.17,$1.59,34.7
2010-03-31,25.04,$1.37,18.28
2009-12-31,21.04,$1.45,14.51
