Gen Digital PE Ratio Historical Data,Gen Digital PE Ratio Historical Data,Gen Digital PE Ratio Historical Data,Gen Digital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,24.89,,26.2
2024-03-31,22.29,$0.95,23.46
2023-12-31,22.57,$2.16,10.45
2023-09-30,17.38,$2.19,7.94
2023-06-30,18.13,$2.08,8.72
2023-03-31,16.64,$2.12,7.85
2022-12-31,20.66,$0.90,22.96
2022-09-30,19.31,$0.99,19.51
2022-06-30,20.95,$1.43,14.65
2022-03-31,25.17,$1.41,17.85
2021-12-31,24.55,$1.54,15.94
2021-09-30,23.78,$1.50,15.86
2021-06-30,25.47,$1.05,24.25
2021-03-31,19.8,$1.10,18.0
2020-12-31,19.24,$5.17,3.72
2020-09-30,19.16,$6.09,3.15
2020-03-31,17.01,$6.02,2.83
2019-12-31,13.57,$5.71,2.38
2019-09-30,12.5,$1.50,8.33
2019-06-30,11.47,$0.38,30.19
2019-03-31,12.07,$0.33,36.58
2020-06-30,18.13,$0.18,100.74
2018-12-31,9.89,$-0.07,0.0
2018-09-30,11.1,$1.84,6.03
2018-06-30,10.73,$1.83,5.86
2018-03-31,13.39,$1.71,7.83
2017-12-31,14.49,$1.54,9.41
2017-09-30,16.9,$-0.40,0.0
2017-06-30,14.51,$-0.61,0.0
2017-03-31,15.72,$-0.17,0.0
2016-12-31,12.21,$3.21,3.8
2016-09-30,12.79,$3.39,3.77
2016-06-30,10.43,$3.85,2.71
2016-03-31,9.29,$3.80,2.45
2015-12-31,8.49,$0.90,9.44
2015-09-30,7.81,$0.97,8.05
2015-06-30,9.27,$1.09,8.5
2015-03-31,9.25,$1.26,7.34
2014-12-31,10.1,$1.32,7.65
2014-09-30,9.2,$1.40,6.57
2014-06-30,8.91,$1.39,6.41
2014-03-31,7.71,$1.27,6.07
2013-12-31,9.04,$1.22,7.41
2013-09-30,9.43,$1.12,8.42
2013-06-30,8.52,$1.05,8.11
2013-03-31,9.29,$1.07,8.68
2012-12-31,7.08,$1.57,4.51
2012-09-30,6.76,$1.59,4.25
2012-06-30,5.5,$1.56,3.52
2012-03-31,7.04,$1.54,4.57
2011-12-31,5.89,$1.00,5.89
2011-09-30,6.13,$0.85,7.22
2011-06-30,7.42,$0.78,9.51
2011-03-31,6.98,$0.76,9.18
2010-12-31,6.3,$0.77,8.18
2010-09-30,5.69,$0.97,5.87
2010-06-30,5.22,$0.98,5.33
2010-03-31,6.37,$0.87,7.32
2009-12-31,6.73,$0.34,19.8
