Aptiv PE Ratio Historical Data,Aptiv PE Ratio Historical Data,Aptiv PE Ratio Historical Data,Aptiv PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,82.55,,7.78
2024-03-31,79.65,$10.61,7.51
2023-12-31,89.72,$10.36,8.66
2023-09-30,98.59,$8.00,12.32
2023-06-30,102.09,$3.29,31.03
2023-03-31,112.19,$2.22,50.54
2022-12-31,93.13,$1.95,47.76
2022-09-30,78.21,$1.15,68.01
2022-06-30,89.07,$0.42,212.07
2022-03-31,119.71,$1.19,100.6
2021-12-31,164.95,$1.96,84.16
2021-09-30,148.97,$2.95,50.5
2021-06-30,157.33,$1.20,131.11
2020-12-31,130.29,$6.80,19.16
2020-09-30,91.68,$6.66,13.77
2020-06-30,77.92,$6.64,11.73
2020-03-31,49.24,$9.03,5.45
2019-12-31,94.74,$3.96,23.92
2021-03-31,137.9,$3.98,34.65
2019-09-30,87.01,$3.89,22.37
2019-06-30,80.24,$3.77,21.28
2019-03-31,78.69,$3.80,20.71
2018-12-31,60.78,$4.03,15.08
2018-09-30,82.58,$4.04,20.44
2018-06-30,89.99,$4.68,19.23
2018-03-31,83.26,$4.96,16.79
2017-12-31,82.92,$5.05,16.42
2017-09-30,80.37,$5.13,15.67
2017-06-30,71.37,$4.72,15.12
2017-03-31,65.32,$4.28,15.26
2016-12-31,54.44,$4.57,11.91
2016-09-30,57.41,$4.22,13.6
2016-06-30,50.17,$4.57,10.98
2016-03-31,59.88,$5.86,10.22
2015-12-31,68.1,$5.05,13.49
2015-09-30,60.22,$5.53,10.89
2015-06-30,67.18,$5.13,13.1
2015-03-31,62.77,$4.16,15.09
2014-12-31,57.07,$4.48,12.74
2014-09-30,47.96,$4.29,11.18
2014-06-30,53.55,$4.14,12.94
2014-03-31,52.67,$4.05,13.01
2013-12-31,46.49,$3.89,11.95
2013-09-30,45.03,$3.35,13.44
2013-06-30,38.95,$3.32,11.73
2013-03-31,33.99,$3.16,10.76
2012-12-31,29.17,$3.32,8.79
2012-09-30,23.64,$3.77,6.27
