Arch Capital Group PE Ratio Historical Data,Arch Capital Group PE Ratio Historical Data,Arch Capital Group PE Ratio Historical Data,Arch Capital Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,103.36,,8.16
2024-03-31,92.44,$12.67,7.3
2023-12-31,74.27,$11.62,6.39
2023-09-30,79.71,$7.76,10.27
2023-06-30,74.85,$5.90,12.69
2023-03-31,67.87,$5.19,13.08
2022-12-31,62.78,$3.80,16.52
2022-09-30,45.54,$3.12,14.6
2022-06-30,45.49,$4.08,11.15
2022-03-31,48.42,$4.67,10.37
2021-12-31,44.45,$5.24,8.48
2021-09-30,38.18,$4.96,7.7
2021-06-30,38.94,$4.98,7.82
2021-03-31,38.37,$4.06,9.45
2020-12-31,36.07,$3.33,10.83
2020-09-30,29.25,$2.79,10.48
2020-06-30,28.65,$2.71,10.57
2020-03-31,28.46,$3.12,9.12
2019-12-31,42.89,$3.87,11.08
2019-09-30,41.98,$3.42,12.27
2019-06-30,37.08,$3.03,12.24
2019-03-31,32.32,$2.47,13.09
2018-12-31,26.72,$1.73,15.45
2018-09-30,29.81,$1.91,15.63
2018-06-30,26.46,$1.25,21.22
2018-03-31,28.53,$1.10,25.86
2017-12-31,30.26,$1.35,22.36
2017-09-30,32.83,$1.03,31.77
2017-06-30,31.1,$1.82,17.05
2017-03-31,31.59,$1.96,16.14
2016-12-31,28.76,$1.78,16.19
2016-09-30,26.42,$1.75,15.1
2016-06-30,24.0,$1.29,18.6
2016-03-31,23.7,$1.03,22.94
2015-12-31,23.25,$1.35,17.18
2015-09-30,24.49,$1.75,14.02
2015-06-30,22.32,$2.09,10.66
2015-03-31,20.53,$2.29,8.95
2014-12-31,19.7,$2.01,9.82
2014-09-30,18.24,$1.85,9.84
2014-06-30,19.15,$1.57,12.17
2014-03-31,19.18,$1.50,12.79
2013-12-31,19.9,$1.68,11.82
2013-09-30,18.04,$1.34,13.5
2013-06-30,17.14,$1.51,11.32
2013-03-31,17.52,$1.61,10.91
2012-12-31,14.67,$1.37,10.71
2012-09-30,13.88,$1.67,8.31
2012-06-30,13.23,$1.62,8.15
2012-03-31,12.41,$1.33,9.31
2011-12-31,12.41,$1.00,12.41
2011-09-30,10.89,$1.17,9.31
2011-06-30,10.64,$1.08,9.85
2011-03-31,11.02,$1.35,8.16
2010-12-31,9.78,$1.72,5.68
2010-09-30,9.31,$1.75,5.33
2010-06-30,8.28,$1.93,4.29
2010-03-31,8.47,$1.71,4.97
2009-12-31,7.95,$1.53,5.18
