Bath & Body Works PE Ratio Historical Data,Bath & Body Works PE Ratio Historical Data,Bath & Body Works PE Ratio Historical Data,Bath & Body Works PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,48.28,,12.54
2024-01-31,42.48,$3.85,11.03
2023-10-31,29.33,$3.19,9.19
2023-07-31,36.46,$3.07,11.88
2023-04-30,34.34,$3.16,10.87
2023-01-31,44.8,$3.45,12.99
2022-10-31,32.34,$3.84,8.42
2022-07-31,34.26,$3.77,9.09
2022-04-30,50.73,$4.59,11.05
2022-01-31,53.57,$4.92,10.89
2021-10-31,65.89,$5.67,11.62
2021-07-31,76.18,$6.51,11.7
2021-04-30,62.56,$4.99,12.54
2021-01-31,38.69,$2.95,13.12
2020-10-31,30.39,$-0.78,0.0
2020-07-31,23.17,$-2.86,0.0
2020-04-30,11.29,$-2.54,0.0
2020-01-31,21.71,$-1.33,0.0
2019-10-31,15.7,$1.31,11.98
2019-07-31,23.54,$2.06,11.43
2019-04-30,22.96,$2.28,10.07
2019-01-31,24.65,$2.31,10.67
2018-10-31,28.13,$2.70,10.42
2018-07-31,26.91,$3.16,8.52
2018-04-30,29.15,$3.28,8.89
2018-01-31,41.31,$3.44,12.01
2017-10-31,35.06,$3.29,10.66
2017-07-31,37.2,$3.41,10.91
2017-04-30,41.86,$3.80,11.01
2017-01-31,47.23,$3.99,11.84
2016-10-31,56.14,$3.96,14.18
2016-07-31,57.0,$4.09,13.94
2016-04-30,59.87,$3.90,15.35
2016-01-31,71.26,$4.22,16.89
2015-10-31,70.75,$3.96,17.87
2015-07-31,59.14,$3.85,15.36
2015-04-30,65.09,$3.70,17.59
2015-01-31,59.99,$4.51,13.3
2014-10-31,50.9,$2.93,17.37
2014-04-30,37.83,$3.10,12.2
2014-01-31,35.65,$3.05,11.69
2013-10-31,42.24,$2.79,15.14
2013-07-31,37.43,$2.73,13.71
2013-04-30,33.64,$2.61,12.89
2013-01-31,31.83,$2.54,12.53
2012-10-31,29.73,$2.32,12.82
2012-07-31,28.77,$2.38,12.09
2012-04-30,29.9,$2.62,11.41
2012-01-31,25.05,$2.71,9.24
2011-10-31,24.24,$2.90,8.36
2011-07-31,21.37,$2.77,7.71
2011-04-30,22.47,$2.58,8.71
2011-01-31,15.87,$2.42,6.56
2010-10-31,14.51,$2.14,6.78
2010-07-31,12.58,$2.01,6.26
2010-04-30,13.07,$1.70,7.69
2010-01-31,8.85,$1.37,6.46
2009-10-31,8.12,$0.34,23.88
2009-07-31,5.91,$0.92,6.43
