BorgWarner PE Ratio Historical Data,BorgWarner PE Ratio Historical Data,BorgWarner PE Ratio Historical Data,BorgWarner PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,35.69,,12.48
2024-03-31,34.74,$2.86,12.15
2023-12-31,35.72,$3.12,11.45
2023-09-30,40.1,$3.37,11.9
2022-12-31,39.58,$4.00,9.9
2022-09-30,30.76,$3.45,8.92
2022-06-30,32.54,$3.22,10.11
2022-03-31,37.77,$2.71,13.94
2021-12-31,43.58,$2.90,15.03
2023-03-31,48.46,$2.63,18.43
2021-09-30,41.62,$3.22,12.93
2021-06-30,46.57,$3.35,13.9
2021-03-31,44.33,$1.85,23.96
2020-12-31,36.81,$2.21,16.66
2020-09-30,36.75,$1.75,21.0
2020-06-30,33.34,$2.16,15.44
2020-03-31,22.9,$3.46,6.62
2019-12-31,40.54,$3.60,11.26
2019-09-30,34.14,$3.64,9.38
2019-06-30,38.87,$3.68,10.56
2019-03-31,35.4,$4.15,8.53
2018-12-31,31.88,$4.45,7.16
2018-09-30,39.09,$2.65,14.75
2018-06-30,39.29,$2.55,15.41
2018-03-31,45.56,$2.25,20.25
2017-12-31,46.18,$2.07,22.31
2017-09-30,46.17,$1.38,33.46
2017-06-30,38.06,$0.89,42.76
2017-03-31,37.42,$0.65,57.57
2016-12-31,35.2,$0.32,110.0
2016-09-30,31.27,$2.41,12.98
2016-06-30,26.14,$2.67,9.79
2015-12-31,37.98,$2.70,14.07
2015-09-30,36.43,$2.75,13.25
2015-06-30,49.65,$2.80,17.73
2015-03-31,52.71,$2.88,18.3
2014-12-31,47.79,$2.92,16.37
2016-03-31,33.87,$3.00,11.29
2014-09-30,45.65,$2.87,15.91
2014-06-30,56.45,$2.87,19.7
2014-03-31,53.12,$2.79,19.07
2013-12-31,48.21,$2.71,17.82
2013-09-30,43.6,$2.60,16.77
2013-06-30,36.95,$2.30,16.07
2013-03-31,33.17,$2.05,16.18
2012-12-31,30.72,$2.08,14.77
2012-09-30,29.64,$2.07,14.36
2012-06-30,28.13,$2.22,12.7
2012-03-31,36.18,$2.37,15.26
2011-12-31,27.34,$2.23,12.26
2011-09-30,25.96,$2.18,11.94
2011-06-30,34.65,$2.04,17.03
2011-03-31,34.18,$1.72,19.87
2010-12-31,31.04,$1.54,20.22
2010-09-30,22.57,$1.32,17.16
2010-06-30,16.02,$0.96,16.77
2010-03-31,16.38,$0.46,35.6
2009-12-31,14.25,$0.12,123.91
2009-09-30,12.98,$0.76,17.08
