Cisco PE Ratio Historical Data,Cisco PE Ratio Historical Data,Cisco PE Ratio Historical Data,Cisco PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,46.42,,15.63
2024-04-30,46.98,$2.97,15.82
2024-01-31,49.77,$3.29,15.13
2023-10-31,51.31,$3.31,15.5
2023-07-31,50.85,$3.07,16.56
2023-04-30,45.82,$2.78,16.48
2023-01-31,46.85,$2.73,17.16
2022-10-31,43.38,$2.77,15.66
2022-07-31,42.94,$2.82,15.23
2022-04-30,45.94,$2.85,16.12
2022-01-31,51.85,$2.80,18.52
2021-10-31,51.82,$2.69,19.26
2021-07-31,50.91,$2.50,20.37
2021-04-30,46.49,$2.41,19.29
2021-01-31,40.43,$2.38,16.99
2020-10-31,32.29,$2.46,13.13
2020-07-31,41.97,$2.63,15.96
2020-04-30,37.47,$2.52,14.87
2020-01-31,40.28,$2.56,15.74
2019-10-31,41.33,$2.51,16.47
2019-07-31,47.84,$2.60,18.4
2019-04-30,48.02,$2.90,16.56
2019-01-31,40.33,$2.77,14.56
2018-10-31,38.71,$0.36,107.52
2018-07-31,35.54,$0.07,507.67
2018-04-30,36.93,$-0.26,0.0
2018-01-31,34.36,$-0.32,0.0
2017-10-31,28.04,$1.93,14.53
2017-07-31,25.6,$1.91,13.4
2017-04-30,27.48,$1.99,13.81
2017-01-31,24.56,$1.95,12.6
2016-10-31,24.32,$2.10,11.58
2016-07-31,24.0,$2.12,11.32
2016-04-30,21.42,$2.01,10.66
2016-01-31,18.37,$2.02,9.09
2015-10-31,22.1,$1.86,11.88
2015-07-31,21.59,$1.73,12.48
2015-04-30,21.73,$1.71,12.71
2015-01-31,19.73,$1.66,11.88
2014-10-31,18.18,$1.47,12.37
2014-07-31,18.61,$1.49,12.49
2014-04-30,16.92,$1.48,11.43
2014-01-31,15.91,$1.52,10.46
2013-10-31,16.25,$1.84,8.83
2013-07-31,18.3,$1.86,9.84
2013-04-30,14.86,$1.80,8.25
2013-01-31,14.49,$1.74,8.33
2012-10-31,11.99,$1.55,7.74
2012-07-31,11.07,$1.49,7.43
2012-04-30,13.93,$1.35,10.32
2012-01-31,13.52,$1.28,10.56
2011-10-31,12.71,$1.15,11.06
2011-07-31,10.92,$1.15,9.49
2011-04-30,11.93,$1.30,9.18
2011-01-31,14.35,$1.29,11.13
2010-07-31,15.65,$1.32,11.86
2010-04-30,18.27,$1.18,15.49
2010-01-31,15.25,$1.15,13.26
2009-10-31,15.48,$1.06,14.6
2009-07-31,14.93,$1.02,14.64
