Abbott Laboratories PE Ratio Historical Data,Abbott Laboratories PE Ratio Historical Data,Abbott Laboratories PE Ratio Historical Data,Abbott Laboratories PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,103.95,,32.38
2024-03-31,113.09,$3.21,35.23
2023-12-31,108.99,$3.26,33.43
2023-09-30,95.36,$2.94,32.44
2023-06-30,106.84,$2.93,36.46
2023-03-31,98.75,$3.29,30.01
2022-12-31,106.58,$3.91,27.26
2022-09-30,93.5,$4.43,21.11
2022-06-30,104.52,$4.79,21.82
2022-03-31,113.42,$4.31,26.32
2021-12-31,134.38,$3.94,34.11
2021-09-30,112.36,$4.03,27.88
2021-06-30,109.85,$3.55,30.94
2021-03-31,113.13,$3.19,35.46
2020-12-31,102.94,$2.50,41.18
2020-09-30,101.98,$1.89,53.96
2020-06-30,85.35,$1.73,49.34
2020-03-31,73.37,$1.99,36.87
2019-12-31,80.42,$2.06,39.04
2019-09-30,77.16,$1.84,41.93
2019-06-30,77.26,$1.63,47.4
2019-03-31,73.14,$1.48,49.42
2018-12-31,65.87,$1.33,49.52
2018-09-30,66.53,$0.48,138.61
2018-06-30,55.07,$0.50,110.14
2018-03-31,53.85,$0.25,215.39
2017-12-31,51.04,$0.26,196.32
2017-09-30,47.5,$1.27,37.4
2017-06-30,43.03,$0.71,60.61
2017-03-31,39.08,$0.96,40.7
2016-12-31,33.58,$0.93,36.11
2016-09-30,36.74,$0.91,40.37
2016-06-30,33.94,$1.51,22.48
2016-03-31,35.9,$1.62,22.16
2015-12-31,38.3,$2.92,13.12
2015-09-30,34.1,$3.00,11.37
2015-06-30,41.41,$2.98,13.9
2015-03-31,38.89,$2.76,14.09
2014-12-31,37.59,$1.49,25.23
2014-09-30,34.54,$1.27,27.2
2014-06-30,33.79,$1.52,22.23
2014-03-31,31.62,$1.52,20.81
2013-12-31,31.3,$1.62,19.32
2013-09-30,26.99,$1.91,14.13
2013-06-30,28.25,$2.51,11.26
2013-03-31,28.5,$3.29,8.66
2012-12-31,25.29,$3.73,6.78
2012-09-30,26.38,$4.09,6.45
2012-06-30,24.71,$3.07,8.05
2012-03-31,23.4,$3.22,7.27
2011-12-31,21.38,$2.99,7.15
2011-09-30,19.36,$2.89,6.7
2011-06-30,19.83,$3.27,6.06
2011-03-31,18.4,$2.87,6.41
2010-12-31,17.9,$2.96,6.05
2010-09-30,19.44,$3.02,6.44
2010-06-30,17.33,$3.40,5.1
2010-03-31,19.43,$3.40,5.72
2009-12-31,19.85,$3.68,5.39
