Extra Space Storage Inc PE Ratio Historical Data,Extra Space Storage Inc PE Ratio Historical Data,Extra Space Storage Inc PE Ratio Historical Data,Extra Space Storage Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,142.58,,31.76
2024-03-31,147.0,$4.49,32.74
2023-12-31,158.53,$4.94,32.09
2023-09-30,118.97,$5.44,21.87
2023-06-30,143.99,$6.13,23.49
2023-03-31,155.85,$6.36,24.5
2022-12-31,139.35,$6.41,21.74
2022-09-30,161.98,$6.89,23.51
2022-06-30,158.31,$6.64,23.84
2022-03-31,189.54,$6.16,30.77
2021-12-31,207.39,$5.84,35.51
2021-09-30,152.75,$4.72,32.36
2021-06-30,147.95,$4.12,35.91
2020-12-31,103.2,$3.70,27.89
2020-09-30,94.53,$3.37,28.05
2020-06-30,80.96,$4.02,20.14
2020-03-31,83.15,$4.05,20.53
2019-12-31,90.87,$4.03,22.55
2021-03-31,118.97,$3.91,30.43
2019-09-30,99.63,$3.18,31.33
2019-06-30,89.79,$3.37,26.64
2019-03-31,85.53,$3.31,25.84
2018-12-31,75.29,$3.27,23.03
2018-09-30,71.47,$4.16,17.18
2018-06-30,81.55,$3.88,21.02
2018-03-31,70.75,$3.82,18.52
2017-12-31,70.19,$3.76,18.67
2017-09-30,63.57,$2.72,23.37
2017-06-30,61.44,$2.91,21.11
2017-03-31,57.99,$2.88,20.14
2016-12-31,59.58,$2.90,20.54
2016-09-30,60.6,$2.32,26.12
2016-06-30,69.9,$1.97,35.48
2016-03-31,69.98,$1.78,39.31
2015-12-31,65.6,$1.58,41.52
2015-09-30,56.99,$1.90,29.99
2015-06-30,47.78,$1.79,26.69
2015-03-31,49.07,$1.68,29.21
2014-12-31,42.28,$1.88,22.49
2014-09-30,36.89,$1.75,21.08
2014-06-30,37.75,$1.59,23.74
2013-12-31,29.37,$1.51,19.45
2013-09-30,31.58,$1.19,26.54
2013-06-30,28.68,$1.30,22.06
2013-03-31,26.6,$1.21,21.99
2012-12-31,24.49,$1.14,21.48
2012-09-30,22.22,$0.97,22.91
2012-06-30,20.21,$0.76,26.6
2012-03-31,18.88,$0.65,29.05
2011-12-31,15.78,$0.54,29.22
2011-09-30,12.06,$0.46,26.22
2011-06-30,13.72,$0.37,37.07
2010-12-31,11.03,$0.30,36.77
2010-09-30,10.11,$0.27,37.45
2010-06-30,8.71,$0.27,32.25
2010-03-31,7.89,$0.27,29.22
2009-12-31,7.13,$0.14,50.93
2011-03-31,13.22,$0.39,33.91
2009-09-30,6.44,$0.61,10.55
