Prologis PE Ratio Historical Data,Prologis PE Ratio Historical Data,Prologis PE Ratio Historical Data,Prologis PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,104.75,,30.63
2024-03-31,130.22,$3.42,38.08
2023-12-31,132.32,$3.29,40.22
2023-09-30,110.66,$3.24,34.16
2023-06-30,120.09,$3.26,36.84
2023-03-31,121.32,$3.49,34.76
2022-12-31,108.83,$4.66,23.35
2022-06-30,112.05,$5.00,22.41
2022-03-31,152.75,$4.99,30.61
2021-12-31,158.45,$3.94,40.22
2021-09-30,117.59,$2.65,44.37
2021-06-30,111.53,$2.08,53.62
2021-03-31,98.4,$1.81,54.37
2020-12-31,91.95,$2.02,45.52
2020-09-30,92.3,$2.25,41.02
2020-06-30,85.13,$2.56,33.25
2020-03-31,72.86,$2.57,28.35
2019-12-31,80.21,$2.81,28.55
2019-09-30,76.23,$2.80,27.22
2019-03-31,63.53,$2.71,23.44
2018-12-31,51.47,$2.84,18.12
2018-09-30,58.96,$2.45,24.06
2018-06-30,56.73,$2.45,23.15
2018-03-31,53.99,$3.46,15.6
2017-12-31,54.88,$3.28,16.73
2019-06-30,71.2,$3.11,22.89
2017-09-30,53.63,$3.33,16.1
2017-06-30,49.22,$2.22,22.17
2017-03-31,43.22,$2.24,19.29
2016-12-31,43.58,$2.25,19.37
2016-09-30,43.85,$1.66,26.41
2016-06-30,39.83,$1.63,24.44
2016-03-31,35.59,$1.38,25.79
2015-12-31,34.23,$1.64,20.87
2015-09-30,30.73,$2.22,13.84
2015-06-30,29.0,$1.96,14.8
2015-03-31,33.74,$1.82,18.54
2014-12-31,33.05,$1.18,28.01
2014-09-30,28.73,$0.49,58.62
2014-06-30,31.04,$0.24,129.35
2014-03-31,30.6,$0.11,278.22
2013-12-31,27.47,$0.67,41.0
2013-09-30,27.75,$0.05,555.09
2013-06-30,27.62,$-0.03,0.0
2013-03-31,29.07,$-0.05,0.0
2012-12-31,26.34,$-0.20,0.0
2012-09-30,25.09,$0.20,125.43
2012-06-30,23.61,$0.42,56.22
2012-03-31,25.37,$-0.05,0.0
2011-12-31,19.97,$-0.42,0.0
2011-09-30,16.77,$1.04,16.12
2011-06-30,24.53,$0.95,25.82
2011-03-31,24.43,$1.48,16.5
2022-09-30,97.4,$1.45,67.17
2010-12-31,21.36,$0.06,355.96
2010-09-30,17.49,$-0.02,0.0
2010-06-30,15.48,$0.37,41.83
2010-03-31,17.78,$0.47,37.84
2009-12-31,16.51,$-0.74,0.0
