Gilead Sciences PE Ratio Historical Data,Gilead Sciences PE Ratio Historical Data,Gilead Sciences PE Ratio Historical Data,Gilead Sciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,65.68,,182.44
2024-03-31,73.25,$0.36,203.47
2023-12-31,80.18,$4.50,17.82
2023-09-30,73.5,$4.66,15.77
2023-06-30,74.86,$4.35,17.21
2023-03-31,79.82,$4.43,18.02
2022-12-31,81.82,$3.65,22.42
2022-09-30,58.32,$2.65,22.01
2022-06-30,57.78,$3.28,17.62
2022-03-31,54.88,$3.58,15.33
2021-12-31,66.2,$4.93,13.43
2021-09-30,63.05,$5.86,10.76
2021-06-30,61.54,$4.10,15.01
2021-03-31,57.16,$0.23,248.52
2020-12-31,50.94,$0.08,636.73
2020-09-30,54.63,$0.97,56.32
2020-06-30,65.84,$-0.24,0.0
2020-03-31,63.38,$3.89,16.29
2019-12-31,54.55,$4.21,12.96
2019-09-30,52.72,$2.09,25.22
2019-06-30,55.66,$4.61,12.07
2019-03-31,53.06,$4.53,11.71
2018-12-31,50.56,$4.16,12.15
2018-09-30,61.89,$1.20,51.58
2018-06-30,56.35,$1.66,33.95
2018-03-31,59.5,$2.60,22.88
2017-12-31,56.13,$3.77,14.89
2017-09-30,63.04,$9.22,6.84
2017-06-30,54.73,$9.74,5.62
2016-12-31,54.51,$9.94,5.48
2016-09-30,59.85,$10.78,5.55
2016-06-30,62.73,$10.34,6.07
2016-03-31,68.69,$10.82,6.35
2015-12-31,75.3,$11.21,6.72
2017-03-31,52.1,$10.79,4.83
2015-09-30,72.58,$10.92,6.65
2015-06-30,86.42,$9.53,9.07
2015-03-31,72.17,$8.81,8.19
2014-12-31,69.32,$7.38,9.39
2014-09-30,78.29,$5.67,13.81
2014-06-30,60.97,$4.47,13.64
2014-03-31,52.11,$2.73,19.09
2013-12-31,55.23,$1.83,30.18
2013-09-30,46.24,$1.83,25.27
2013-06-30,37.71,$1.79,21.12
2013-03-31,35.99,$1.79,20.16
2012-12-31,27.01,$1.65,16.42
2012-09-30,24.39,$1.61,15.15
2012-06-30,18.86,$1.66,11.36
2012-03-31,17.97,$1.67,10.79
2011-12-31,15.05,$1.78,8.48
2011-09-30,14.27,$1.72,8.29
2011-06-30,15.23,$1.66,9.17
2011-03-31,15.62,$1.59,9.82
2010-12-31,13.33,$1.65,8.08
2010-09-30,13.09,$1.71,7.68
2010-06-30,12.61,$1.65,7.64
2010-03-31,16.72,$1.56,10.72
2009-12-31,15.91,$1.42,11.24
