Revvity PE Ratio Historical Data,Revvity PE Ratio Historical Data,Revvity PE Ratio Historical Data,Revvity PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,113.27,,93.61
2024-03-31,104.93,$1.21,86.72
2023-12-31,109.16,$5.50,19.85
2023-09-30,110.47,$5.95,18.57
2023-06-30,118.48,$6.54,18.12
2023-03-31,132.84,$7.68,17.3
2022-12-31,139.71,$4.58,30.5
2022-09-30,119.82,$4.90,24.45
2022-06-30,141.55,$5.34,26.51
2022-03-31,173.57,$6.11,28.41
2021-12-31,199.95,$8.08,24.75
2021-09-30,172.27,$10.05,17.14
2021-06-30,153.43,$10.51,14.6
2021-03-31,127.41,$9.55,13.34
2020-12-31,142.45,$6.48,21.98
2020-09-30,124.52,$3.68,33.84
2020-06-30,97.25,$2.63,36.98
2020-03-31,74.57,$2.02,36.92
2019-12-31,96.12,$2.36,40.73
2019-09-30,84.24,$2.47,34.11
2019-06-30,95.22,$2.52,37.79
2018-12-31,77.51,$2.13,36.39
2018-09-30,95.91,$1.12,85.63
2018-06-30,72.14,$0.75,96.19
2018-03-31,74.53,$1.00,74.53
2017-12-31,71.9,$2.61,27.55
2019-03-31,95.17,$3.33,28.58
2017-09-30,67.76,$3.60,18.82
2017-06-30,66.87,$3.31,20.2
2017-03-31,56.91,$2.05,27.76
2016-12-31,51.05,$2.13,23.97
2016-09-30,54.85,$2.15,25.51
2016-06-30,51.18,$2.10,24.37
2016-03-31,48.23,$1.95,24.73
2015-12-31,52.15,$1.88,27.74
2015-09-30,44.68,$1.54,29.01
2015-06-30,51.11,$1.43,35.74
2015-03-31,49.58,$1.44,34.43
2014-12-31,42.33,$1.38,30.67
2014-09-30,42.13,$1.68,25.08
2014-06-30,45.19,$1.67,27.06
2014-03-31,43.4,$1.48,29.33
2013-12-31,39.65,$1.46,27.16
2013-09-30,36.23,$0.75,48.31
2013-06-30,31.13,$0.65,47.89
2013-03-31,32.16,$0.69,46.6
2012-12-31,30.28,$-0.34,0.0
2012-09-30,28.05,$0.11,254.98
2012-06-30,24.49,$0.10,244.86
2011-12-31,18.87,$0.01,1887.46
2011-09-30,18.06,$3.22,5.61
2011-06-30,25.23,$3.11,8.11
2011-03-31,24.57,$2.97,8.27
2010-12-31,24.08,$3.26,7.39
2012-03-31,26.18,$1.01,25.92
2010-09-30,21.52,$1.15,18.71
2010-06-30,19.15,$1.16,16.51
2010-03-31,22.08,$0.85,25.97
2009-12-31,18.96,$0.73,25.97
