Essex Property Trust PE Ratio Historical Data,Essex Property Trust PE Ratio Historical Data,Essex Property Trust PE Ratio Historical Data,Essex Property Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,259.4,,31.71
2024-03-31,244.81,$8.18,29.93
2023-12-31,245.45,$6.31,38.9
2023-09-30,208.02,$8.15,25.52
2023-06-30,227.31,$8.22,27.65
2023-03-31,200.91,$7.54,26.65
2022-12-31,201.31,$6.28,32.06
2022-09-30,227.73,$5.52,41.26
2022-06-30,243.61,$5.91,41.22
2022-03-31,319.16,$6.04,52.84
2021-12-31,323.36,$7.51,43.06
2021-09-30,291.8,$6.88,42.41
2021-06-30,272.04,$6.19,43.95
2021-03-31,244.8,$6.48,37.78
2020-12-31,212.21,$8.65,24.53
2020-09-30,177.91,$9.13,19.49
2020-06-30,200.97,$9.51,21.13
2020-03-31,191.38,$9.62,19.89
2019-12-31,259.05,$6.67,38.84
2019-09-30,279.44,$6.50,42.99
2019-06-30,248.26,$6.21,39.98
2019-03-31,244.32,$6.33,38.6
2018-12-31,205.74,$6.09,33.78
2018-09-30,207.0,$5.52,37.5
2018-06-30,199.06,$5.38,37.0
2017-12-31,197.87,$6.58,30.07
2017-09-30,206.74,$7.99,25.88
2017-06-30,207.94,$7.78,26.73
2017-03-31,185.89,$7.80,23.83
2016-12-31,185.27,$6.27,29.55
2016-09-30,176.22,$4.51,39.07
2016-06-30,179.22,$4.16,43.08
2016-03-31,182.45,$3.76,48.52
2015-12-31,185.51,$3.49,53.15
2015-09-30,172.1,$2.90,59.35
2015-06-30,162.6,$3.10,52.45
2015-03-31,174.74,$2.48,70.46
2014-12-31,156.06,$2.14,72.93
2014-09-30,134.19,$2.36,56.86
2014-06-30,137.83,$3.35,41.14
2014-03-31,125.86,$3.94,31.94
2013-12-31,105.44,$4.04,26.1
2013-09-30,107.62,$4.41,24.4
2013-06-30,114.87,$3.02,38.03
2013-03-31,108.0,$3.42,31.58
2012-12-31,104.34,$3.41,30.6
2012-09-30,104.69,$2.61,40.11
2012-06-30,107.9,$2.39,45.15
2012-03-31,105.43,$1.64,64.29
2011-12-31,97.06,$1.24,78.27
2011-09-30,82.31,$0.98,83.99
2011-06-30,91.97,$0.96,95.8
2011-03-31,83.64,$2.02,41.41
2010-12-31,76.39,$2.07,36.9
2010-09-30,72.54,$2.36,30.74
2018-03-31,198.83,$2.39,83.19
2010-06-30,64.04,$1.75,36.59
2010-03-31,58.47,$1.86,31.44
2009-12-31,53.75,$2.94,18.28
