AMETEK PE Ratio Historical Data,AMETEK PE Ratio Historical Data,AMETEK PE Ratio Historical Data,AMETEK PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,173.66,,30.52
2024-03-31,182.9,$5.69,32.14
2023-12-31,164.64,$5.67,29.04
2023-09-30,147.3,$5.52,26.68
2023-06-30,161.11,$5.34,30.17
2023-03-31,144.4,$5.16,27.98
2022-12-31,138.57,$5.01,27.66
2022-09-30,112.3,$4.89,22.97
2022-06-30,108.62,$4.70,23.11
2022-03-31,131.4,$4.48,29.33
2021-12-31,144.83,$4.25,34.08
2021-09-30,121.97,$3.99,30.57
2021-06-30,131.11,$3.77,34.78
2021-03-31,125.26,$3.49,35.89
2020-12-31,118.4,$3.77,31.41
2020-09-30,97.17,$3.78,25.71
2020-06-30,87.2,$3.86,22.59
2020-03-31,70.13,$4.08,17.19
2019-12-31,96.87,$3.75,25.83
2019-09-30,89.05,$3.70,24.07
2019-06-30,87.96,$3.56,24.71
2019-03-31,80.21,$3.45,23.25
2018-12-31,65.33,$3.34,19.56
2018-09-30,76.2,$3.46,22.02
2018-06-30,69.38,$3.30,21.02
2018-03-31,72.91,$3.12,23.37
2017-12-31,69.42,$2.94,23.61
2017-09-30,63.18,$2.38,26.55
2017-06-30,57.87,$2.28,25.38
2017-03-31,51.59,$2.22,23.24
2016-12-31,46.29,$2.19,21.14
2016-09-30,45.42,$2.29,19.84
2016-06-30,43.87,$2.38,18.43
2016-03-31,47.34,$2.43,19.48
2015-12-31,50.66,$2.45,20.68
2015-09-30,49.38,$2.50,19.75
2015-06-30,51.61,$2.42,21.33
2015-03-31,49.42,$2.39,20.68
2014-12-31,49.42,$2.37,20.85
2014-09-30,47.07,$2.30,20.46
2014-06-30,48.92,$2.25,21.74
2014-03-31,48.1,$2.16,22.27
2013-12-31,49.15,$2.10,23.4
2013-09-30,42.89,$2.04,21.02
2013-06-30,39.37,$1.99,19.78
2013-03-31,40.3,$1.94,20.77
2012-12-31,34.87,$1.88,18.52
2012-09-30,32.85,$1.81,18.12
2012-06-30,30.78,$1.74,17.66
2012-03-31,29.86,$1.66,17.99
2011-12-31,25.89,$1.59,16.31
2011-09-30,20.24,$1.50,13.5
2011-06-30,27.53,$1.58,17.42
2011-03-31,26.86,$1.47,18.23
2010-12-31,23.99,$1.33,17.99
2010-09-30,19.44,$1.21,16.02
2010-06-30,16.32,$0.91,17.91
2010-03-31,16.82,$0.84,19.92
2009-12-31,15.49,$0.97,15.9
