Principal Financial PE Ratio Historical Data,Principal Financial PE Ratio Historical Data,Principal Financial PE Ratio Historical Data,Principal Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,82.22,,15.69
2024-03-31,86.31,$5.24,16.47
2023-12-31,78.0,$2.45,31.84
2023-09-30,70.81,$6.07,11.67
2023-06-30,73.89,$6.47,11.42
2023-03-31,71.7,$6.32,11.35
2022-12-31,80.27,$8.65,9.28
2022-09-30,68.52,$10.01,6.85
2022-03-31,68.52,$5.83,11.75
2021-12-31,66.86,$6.27,10.66
2021-09-30,58.98,$6.21,9.5
2021-06-30,57.33,$5.93,9.67
2021-03-31,53.9,$5.68,9.49
2020-12-31,44.16,$4.79,9.22
2020-03-31,26.83,$4.46,6.02
2019-12-31,46.5,$4.95,9.39
2019-09-30,47.83,$4.71,10.15
2019-06-30,47.98,$15.67,3.06
2019-03-31,41.11,$15.89,2.59
2018-12-31,35.8,$15.94,2.25
2022-06-30,62.89,$16.47,3.82
2018-09-30,46.97,$7.40,6.35
2018-06-30,42.05,$8.57,4.91
2018-03-31,47.94,$8.05,5.95
2017-12-31,55.07,$7.88,6.99
2017-09-30,49.87,$6.10,8.18
2017-06-30,49.29,$4.40,11.2
2017-03-31,48.2,$4.44,10.86
2016-12-31,43.88,$4.50,9.75
2016-09-30,38.78,$4.27,9.08
2016-06-30,30.69,$4.22,7.27
2016-03-31,29.19,$3.93,7.43
2015-12-31,32.97,$4.07,8.1
2015-09-30,34.42,$4.12,8.36
2015-06-30,37.01,$3.96,9.35
2015-03-31,36.79,$3.92,9.39
2014-12-31,36.94,$3.56,10.38
2020-09-30,35.44,$3.60,9.85
2014-09-30,37.08,$3.53,10.5
2014-06-30,35.45,$3.58,9.9
2014-03-31,32.08,$4.00,8.02
2013-12-31,34.19,$3.80,9.0
2013-09-30,29.54,$3.63,8.14
2020-06-30,36.08,$3.55,10.16
2013-06-30,25.67,$2.70,9.51
2013-03-31,23.19,$2.53,9.17
2012-12-31,19.3,$2.46,7.84
2012-09-30,18.09,$1.92,9.42
2012-06-30,17.48,$2.12,8.25
2011-12-31,16.17,$2.14,7.55
2011-09-30,14.49,$2.22,6.53
2011-06-30,19.45,$2.68,7.26
2011-03-31,20.53,$2.32,8.85
2010-12-31,20.82,$2.14,9.73
2012-03-31,19.52,$2.11,9.25
2010-09-30,16.25,$1.89,8.6
2010-06-30,14.69,$2.02,7.27
2010-03-31,18.31,$2.12,8.64
2009-12-31,15.07,$1.96,7.69
