ASML Holding PE Ratio Historical Data,ASML Holding PE Ratio Historical Data,ASML Holding PE Ratio Historical Data,ASML Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,956.22,,48.84
2024-03-31,968.5,$19.58,49.46
2023-12-31,754.07,$21.51,35.06
2023-09-30,584.98,$20.61,28.38
2023-06-30,718.6,$19.70,36.48
2023-03-31,672.96,$18.10,37.18
2022-12-31,538.98,$16.38,32.91
2022-09-30,408.47,$16.69,24.47
2022-06-30,466.89,$17.39,26.85
2022-03-31,646.83,$16.66,38.83
2021-12-31,770.99,$16.93,45.54
2021-09-30,719.72,$15.77,45.64
2021-06-30,667.3,$13.71,48.67
2021-03-31,594.63,$12.64,47.04
2020-12-31,469.76,$9.81,47.89
2020-09-30,354.32,$8.94,39.63
2020-06-30,353.13,$7.64,46.22
2020-03-31,249.8,$6.94,35.99
2019-12-31,282.55,$7.34,38.49
2019-09-30,236.17,$6.48,36.45
2019-06-30,197.67,$6.68,29.59
2019-03-31,176.77,$7.04,25.11
2018-12-31,146.29,$7.16,20.43
2018-09-30,176.75,$6.81,25.95
2018-06-30,186.1,$6.47,28.76
2018-03-31,185.02,$5.92,31.25
2017-12-31,161.97,$5.49,29.5
2017-09-30,159.53,$5.05,31.59
2017-06-30,121.43,$4.57,26.57
2017-03-31,122.53,$4.23,28.97
2016-12-31,103.52,$3.94,26.28
2016-09-30,101.11,$3.57,28.32
2015-12-31,80.87,$3.52,22.97
2015-09-30,80.15,$3.59,22.33
2015-06-30,94.86,$3.47,27.34
2015-03-31,91.39,$3.75,24.37
2014-12-31,97.54,$3.38,28.86
2014-09-30,89.39,$4.03,22.18
2014-06-30,84.37,$3.90,21.63
2014-03-31,83.59,$3.33,25.1
2013-12-31,83.89,$3.01,27.87
2013-09-30,88.42,$2.42,36.54
2013-06-30,70.83,$2.94,24.06
2013-03-31,60.31,$3.40,17.72
2012-12-31,57.12,$4.26,13.41
2012-09-30,49.61,$4.52,10.98
2012-06-30,47.52,$4.90,9.71
2012-03-31,45.79,$5.58,8.2
2011-12-31,38.16,$6.12,6.24
2011-09-30,31.54,$6.60,4.78
2011-06-30,33.75,$6.15,5.49
2011-03-31,40.07,$5.21,7.69
2010-12-31,34.53,$3.95,8.74
2010-09-30,26.77,$2.56,10.45
2010-06-30,24.74,$1.61,15.34
2010-03-31,31.88,$0.29,110.77
2009-12-31,30.49,$-0.61,0.0
2009-09-30,26.45,$0.10,262.13
2009-06-30,19.37,$0.53,36.48
