Diamondback Energy PE Ratio Historical Data,Diamondback Energy PE Ratio Historical Data,Diamondback Energy PE Ratio Historical Data,Diamondback Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,193.46,,10.91
2024-03-31,196.22,$17.74,11.06
2023-12-31,150.95,$17.34,8.71
2023-09-30,147.57,$17.62,8.37
2023-06-30,124.46,$19.27,6.46
2023-03-31,127.26,$24.15,5.27
2022-12-31,126.2,$24.63,5.12
2022-09-30,109.58,$24.55,4.46
2022-06-30,107.64,$21.39,5.03
2022-03-31,118.9,$15.17,7.84
2021-12-31,93.13,$12.14,7.67
2021-09-30,81.39,$1.92,42.39
2021-06-30,80.26,$-8.69,0.0
2021-03-31,62.51,$-25.57,0.0
2020-12-31,40.95,$-28.62,0.0
2020-09-30,25.2,$-26.98,0.0
2020-06-30,34.7,$-17.67,0.0
2020-03-31,21.53,$-0.39,0.0
2019-12-31,75.84,$1.39,54.56
2019-09-30,73.25,$6.93,10.57
2019-06-30,88.6,$6.26,14.15
2019-03-31,82.4,$6.37,12.94
2018-12-31,75.15,$7.96,9.44
2018-09-30,109.47,$6.62,16.54
2018-06-30,106.43,$5.77,18.45
2018-03-31,102.25,$5.16,19.82
2017-12-31,102.03,$4.97,20.53
2017-09-30,79.17,$4.13,19.17
2017-06-30,71.77,$3.36,21.36
2017-03-31,83.82,$-0.42,0.0
2016-12-31,81.67,$-2.34,0.0
2016-09-30,78.02,$-5.46,0.0
2016-06-30,73.71,$-7.83,0.0
2016-03-31,62.37,$-9.11,0.0
2015-12-31,54.07,$-8.55,0.0
2015-09-30,52.21,$-4.02,0.0
2015-06-30,60.92,$-0.83,0.0
2015-03-31,62.1,$3.16,19.65
2014-12-31,48.31,$3.54,13.65
2014-09-30,60.44,$2.25,26.86
2014-06-30,71.77,$1.79,40.09
2014-03-31,54.4,$1.61,33.79
2013-12-31,42.74,$1.18,36.22
2013-09-30,34.46,$0.89,38.72
