Cintas PE Ratio Historical Data,Cintas PE Ratio Historical Data,Cintas PE Ratio Historical Data,Cintas PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,682.81,,49.05
2024-02-29,627.38,$13.92,45.07
2023-11-30,550.95,$13.20,41.74
2023-05-31,467.74,$12.98,36.04
2023-02-28,433.33,$12.46,34.78
2022-11-30,455.19,$13.02,34.96
2022-08-31,400.0,$12.87,31.08
2022-05-31,390.6,$12.24,31.91
2023-08-31,500.84,$12.54,39.94
2022-02-28,367.11,$11.31,32.46
2021-11-30,411.89,$10.71,38.46
2021-08-31,385.28,$10.57,36.45
2021-05-31,343.33,$10.24,33.53
2021-02-28,314.31,$9.12,34.46
2020-11-30,343.56,$8.91,38.56
2020-08-31,318.92,$8.56,37.26
2020-05-31,237.31,$8.10,29.3
2020-02-29,255.28,$8.81,28.98
2019-11-30,246.02,$8.50,28.94
2019-08-31,250.03,$8.41,29.73
2019-05-31,210.25,$7.98,26.35
2019-02-28,195.82,$7.58,25.83
2018-11-30,177.6,$8.44,21.04
2018-08-31,199.97,$7.49,26.7
2018-05-31,170.81,$7.56,22.59
2018-02-28,159.94,$6.66,24.02
2017-11-30,147.55,$5.02,29.39
2017-08-31,125.14,$5.08,24.63
2017-05-31,116.68,$4.38,26.64
2017-02-28,109.38,$4.82,22.69
2016-11-30,106.22,$4.80,22.13
2016-08-31,107.52,$6.57,16.37
2016-05-31,86.74,$6.19,14.01
2016-02-29,76.85,$5.89,13.05
2015-11-30,83.81,$5.64,14.86
2015-08-31,76.88,$3.58,21.48
2015-05-31,77.88,$3.63,21.45
2015-02-28,75.52,$3.76,20.08
2014-11-30,66.17,$3.65,18.13
2014-08-31,58.42,$3.35,17.44
2014-05-31,54.87,$3.05,17.99
2014-02-28,53.58,$2.71,19.77
2013-11-30,49.02,$2.62,18.71
2013-08-31,41.59,$2.55,16.31
2013-05-31,39.76,$2.52,15.78
2013-02-28,38.23,$2.43,15.73
2012-11-30,36.08,$2.41,14.97
2012-08-31,34.66,$2.35,14.75
2012-05-31,31.64,$2.27,13.94
2012-02-29,33.06,$2.16,15.31
2011-11-30,26.07,$1.99,13.1
2011-08-31,26.93,$1.80,14.96
2011-05-31,27.67,$1.68,16.47
2011-02-28,23.68,$1.55,15.28
2010-11-30,22.53,$1.46,15.43
2010-08-31,21.09,$1.45,14.55
2010-05-31,21.52,$1.40,15.37
2010-02-28,20.51,$1.07,19.17
2009-11-30,22.8,$1.22,18.69
