Corteva PE Ratio Historical Data,Corteva PE Ratio Historical Data,Corteva PE Ratio Historical Data,Corteva PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,55.51,,70.27
2024-03-31,57.67,$0.79,73.0
2023-12-31,47.78,$1.02,46.84
2023-09-30,50.83,$1.30,39.1
2023-06-30,56.75,$1.29,43.99
2023-03-31,59.56,$1.62,36.77
2022-12-31,57.91,$1.57,36.89
2022-09-30,56.18,$1.87,30.04
2022-06-30,53.09,$2.37,22.4
2022-03-31,56.22,$2.35,23.92
2021-12-31,46.12,$2.37,19.46
2021-09-30,40.93,$2.20,18.6
2021-06-30,43.0,$1.64,26.22
2021-03-31,45.08,$1.34,33.64
2020-12-31,37.33,$0.90,41.48
2020-09-30,27.67,$0.82,33.75
2020-06-30,25.61,$0.68,37.66
2020-03-31,22.34,$-1.14,0.0
