Host Hotels & Resorts PE Ratio Historical Data,Host Hotels & Resorts PE Ratio Historical Data,Host Hotels & Resorts PE Ratio Historical Data,Host Hotels & Resorts PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,18.3,,17.6
2023-12-31,19.28,$1.04,18.54
2023-09-30,15.56,$1.05,14.82
2023-06-30,16.12,$1.27,12.69
2023-03-31,15.65,$1.14,13.73
2022-12-31,15.12,$1.10,13.75
2024-03-31,20.68,$1.06,19.51
2022-09-30,14.66,$1.13,12.98
2022-06-30,14.37,$0.80,17.96
2022-03-31,17.74,$0.35,50.68
2021-12-31,15.85,$-0.03,0.0
2021-09-30,14.89,$-0.57,0.0
2021-06-30,15.58,$-0.84,0.0
2021-03-31,15.36,$-1.25,0.0
2020-12-31,13.34,$-1.03,0.0
2020-09-30,9.84,$-0.83,0.0
2020-06-30,9.84,$0.12,81.96
2020-03-31,10.06,$1.01,9.96
2019-12-31,16.62,$1.26,13.19
2019-09-30,15.28,$1.56,9.8
2019-06-30,15.92,$1.48,10.76
2019-03-31,16.33,$1.37,11.92
2018-12-31,14.26,$1.46,9.76
2018-09-30,17.78,$1.17,15.19
2018-06-30,17.59,$0.88,19.98
2018-03-31,15.41,$0.88,17.51
2017-12-31,16.24,$0.71,22.87
2017-09-30,14.94,$0.73,20.46
2017-06-30,14.6,$1.06,13.78
2016-12-31,14.74,$1.02,14.45
2016-09-30,12.02,$1.07,11.23
2016-06-30,12.35,$1.04,11.88
2016-03-31,12.56,$0.85,14.78
2015-12-31,11.4,$0.74,15.4
2015-09-30,11.6,$0.85,13.65
2015-06-30,14.37,$0.93,15.45
2015-03-31,14.48,$0.86,16.83
2014-12-31,16.89,$0.97,17.41
2014-09-30,14.99,$0.80,18.74
2014-06-30,15.33,$0.64,23.95
2014-03-31,14.0,$0.59,23.72
2013-12-31,13.35,$0.43,31.05
2013-09-30,12.05,$0.29,41.56
2013-06-30,11.43,$0.21,54.43
2013-03-31,11.77,$0.16,73.58
2012-12-31,10.49,$0.08,131.08
2012-09-30,10.68,$0.08,133.49
2012-06-30,10.47,$0.08,130.92
2012-03-31,10.82,$0.06,180.35
2011-12-31,9.7,$-0.03,0.0
2011-09-30,7.16,$-0.06,0.0
2011-06-30,11.05,$-0.10,0.0
2011-03-31,11.46,$-0.17,0.0
2010-12-31,11.62,$-0.21,0.0
2010-09-30,9.41,$-0.32,0.0
2010-06-30,8.75,$-0.32,0.0
2010-03-31,9.5,$-0.46,0.0
2009-12-31,7.57,$-0.45,0.0
2009-09-30,7.44,$-0.12,0.0
