Cencora PE Ratio Historical Data,Cencora PE Ratio Historical Data,Cencora PE Ratio Historical Data,Cencora PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,218.89,,23.95
2024-03-31,242.44,$9.14,26.52
2023-12-31,204.46,$9.18,22.27
2023-09-30,178.7,$8.53,20.95
2023-06-30,190.58,$8.21,23.21
2023-03-31,158.12,$7.78,20.32
2022-12-31,163.14,$8.24,19.8
2022-09-30,132.82,$8.04,16.52
2022-06-30,138.43,$8.72,15.88
2022-03-31,150.92,$8.20,18.41
2021-12-31,129.21,$7.71,16.76
2021-09-30,115.72,$7.39,15.66
2021-06-30,110.51,$-18.43,0.0
2021-03-31,113.54,$-18.42,0.0
2020-12-31,93.61,$-15.88,0.0
2020-09-30,92.43,$-16.79,0.0
2020-06-30,95.72,$7.58,12.63
2020-03-31,83.65,$7.60,11.01
2019-12-31,80.01,$3.09,25.89
2019-09-30,77.12,$4.03,19.14
2019-06-30,79.5,$4.47,17.79
2019-03-31,73.77,$4.29,17.2
2018-12-31,68.7,$5.45,12.61
2018-09-30,84.78,$7.51,11.29
2018-06-30,78.05,$5.09,15.33
2018-03-31,78.56,$4.07,19.3
2017-12-31,83.35,$4.64,17.96
2017-09-30,74.76,$1.85,40.41
2017-06-30,85.01,$3.84,22.14
2017-03-31,79.25,$5.17,15.33
2016-12-31,69.74,$5.99,11.64
2016-09-30,71.72,$6.34,11.31
2016-06-30,70.16,$7.26,9.66
2016-03-31,76.21,$6.59,11.56
2015-12-31,90.96,$1.58,57.57
2015-09-30,83.02,$-0.79,0.0
2015-06-30,92.68,$-2.06,0.0
2015-03-31,98.82,$-3.01,0.0
2014-12-31,78.16,$0.08,976.95
2014-09-30,66.79,$1.16,57.58
2014-06-30,62.59,$1.09,57.42
2014-03-31,56.3,$1.86,30.27
2013-12-31,60.15,$1.29,46.63
2013-09-30,52.09,$1.83,28.47
2013-06-30,47.25,$2.27,20.82
2013-03-31,43.38,$2.27,19.11
2012-12-31,36.24,$2.89,12.54
2012-09-30,32.32,$2.80,11.54
2012-06-30,32.74,$2.68,12.22
2012-03-31,32.88,$2.63,12.5
2011-12-31,30.72,$2.59,11.86
2011-09-30,30.68,$2.54,12.08
2011-06-30,33.98,$2.50,13.59
2011-03-31,32.38,$2.41,13.44
2010-12-31,27.85,$2.27,12.27
2010-09-30,24.95,$2.22,11.24
2010-06-30,25.76,$2.16,11.93
2010-03-31,23.41,$1.99,11.76
2009-12-31,21.04,$1.83,11.5
