J.B Hunt Transport Services PE Ratio Historical Data,J.B Hunt Transport Services PE Ratio Historical Data,J.B Hunt Transport Services PE Ratio Historical Data,J.B Hunt Transport Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,157.62,,25.02
2024-03-31,198.75,$6.30,31.55
2023-12-31,198.84,$6.97,28.53
2023-09-30,187.21,$7.42,25.23
2023-06-30,179.41,$8.19,21.91
2023-03-31,173.48,$8.80,19.71
2022-12-31,172.01,$9.20,18.7
2022-09-30,153.95,$9.56,16.1
2022-06-30,154.64,$8.87,17.43
2022-03-31,196.72,$8.06,24.41
2021-12-31,199.85,$7.14,27.99
2021-09-30,163.25,$6.30,25.91
2021-06-30,158.79,$5.60,28.36
2021-03-31,163.5,$5.13,31.87
2020-12-31,132.67,$4.74,27.99
2020-09-30,122.44,$4.65,26.33
2020-06-30,116.35,$4.87,23.89
2020-03-31,88.94,$4.96,17.93
2019-12-31,112.34,$5.07,22.16
2019-09-30,106.21,$4.53,23.45
2019-06-30,87.52,$4.32,20.26
2019-03-31,96.71,$4.46,21.68
2018-12-31,88.62,$4.44,19.96
2018-09-30,113.05,$7.11,15.9
2018-06-30,115.3,$6.83,16.88
2018-03-31,110.9,$6.34,17.49
2017-12-31,108.62,$6.19,17.55
2017-09-30,104.71,$3.76,27.85
2017-06-30,85.92,$3.82,22.49
2017-03-31,86.03,$3.86,22.29
2016-12-31,90.82,$3.82,23.77
2016-09-30,75.71,$3.78,20.03
2016-06-30,75.31,$3.80,19.82
2016-03-31,78.18,$3.76,20.79
2015-12-31,67.88,$3.66,18.55
2015-09-30,65.89,$3.58,18.4
2015-06-30,75.56,$3.46,21.84
2015-03-31,78.41,$3.37,23.27
2014-12-31,77.16,$3.17,24.34
2014-09-30,67.65,$3.01,22.48
2014-06-30,67.24,$2.89,23.27
2014-03-31,65.37,$2.83,23.1
2013-12-31,70.07,$2.86,24.5
2013-09-30,65.97,$2.79,23.65
2013-06-30,65.22,$2.69,24.24
2013-03-31,67.1,$2.53,26.52
2012-12-31,53.79,$2.53,21.26
2012-09-30,46.65,$2.40,19.44
2012-03-31,48.49,$2.28,21.27
2011-12-31,40.09,$2.11,19.0
2011-09-30,32.03,$1.96,16.34
2011-06-30,41.64,$2.06,20.21
2011-03-31,40.05,$1.94,20.65
2010-12-31,35.88,$1.94,18.49
2012-06-30,53.29,$1.77,30.11
2010-09-30,30.41,$1.42,21.41
2010-06-30,28.53,$1.32,21.61
2010-03-31,31.23,$1.11,28.13
2009-12-31,27.98,$1.06,26.4
