AES PE Ratio Historical Data,AES PE Ratio Historical Data,AES PE Ratio Historical Data,AES PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,20.91,,29.04
2024-03-31,17.76,$0.72,24.67
2023-12-31,18.87,$0.33,57.19
2023-09-30,14.74,$-0.88,0.0
2023-06-30,19.95,$-0.61,0.0
2023-03-31,23.01,$-0.82,0.0
2022-12-31,27.31,$-0.87,0.0
2022-09-30,21.33,$-0.47,0.0
2022-06-30,19.69,$-0.58,0.0
2022-03-31,23.94,$-0.27,0.0
2021-12-31,22.45,$-0.65,0.0
2021-09-30,20.97,$0.77,27.23
2021-06-30,23.79,$-0.21,0.0
2021-03-31,24.33,$-0.37,0.0
2020-12-31,21.2,$0.07,302.85
2020-09-30,16.22,$-0.52,0.0
2020-06-30,12.86,$0.30,42.85
2020-03-31,11.94,$0.44,27.13
2019-12-31,17.34,$0.45,38.54
2019-09-30,14.13,$0.76,18.59
2019-06-30,14.37,$0.59,24.36
2019-03-31,15.38,$1.01,15.23
2018-12-31,12.2,$1.81,6.74
2018-09-30,11.71,$-0.41,0.0
2018-06-30,11.11,$-0.33,0.0
2018-03-31,9.32,$-0.69,0.0
2017-12-31,8.78,$-1.76,0.0
2017-09-30,8.83,$-1.17,0.0
2017-06-30,8.81,$-1.14,0.0
2017-03-31,8.77,$-1.95,0.0
2016-12-31,9.02,$-1.72,0.0
2016-09-30,9.88,$-0.41,0.0
2016-06-30,9.51,$-0.41,0.0
2016-03-31,8.91,$0.42,21.21
2015-12-31,7.14,$0.43,16.61
2015-09-30,7.24,$0.85,8.52
2015-06-30,9.73,$1.26,7.72
2015-03-31,9.36,$1.34,6.98
2014-12-31,9.95,$1.06,9.38
2014-09-30,10.21,$0.49,20.83
2014-06-30,11.15,$-0.09,0.0
2014-03-31,10.21,$-0.05,0.0
2013-12-31,10.33,$0.14,73.82
2013-09-30,9.44,$0.65,14.52
2013-06-30,8.49,$-1.54,0.0
2013-03-31,8.87,$-1.58,0.0
2012-12-31,7.53,$-1.25,0.0
2012-09-30,7.69,$-1.75,0.0
2012-06-30,8.99,$0.18,49.94
2012-03-31,9.16,$0.22,41.62
2011-12-31,8.3,$0.06,138.26
2011-09-30,6.84,$-0.22,0.0
2011-06-30,8.93,$0.09,99.18
2011-03-31,9.11,$0.05,182.16
2010-12-31,8.53,$0.04,213.34
2010-09-30,7.95,$0.52,15.29
2010-06-30,6.47,$0.66,9.81
2010-03-31,7.71,$0.93,8.29
2009-12-31,9.33,$0.99,9.42
