Altria PE Ratio Historical Data,Altria PE Ratio Historical Data,Altria PE Ratio Historical Data,Altria PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,45.49,,9.52
2024-03-31,43.62,$4.78,9.13
2023-12-31,39.44,$4.57,8.63
2023-09-30,40.14,$4.91,8.17
2023-06-30,42.3,$3.81,11.1
2023-03-31,40.79,$3.11,13.12
2022-12-31,40.9,$3.19,12.82
2022-09-30,35.4,$2.57,13.78
2022-06-30,35.82,$0.97,36.92
2022-03-31,43.95,$1.64,26.8
2021-12-31,39.19,$1.33,29.46
2021-09-30,36.93,$1.48,24.95
2021-06-30,37.98,$2.45,15.5
2021-03-31,40.03,$2.33,17.18
2020-12-31,31.54,$2.39,13.2
2020-09-30,29.12,$0.36,80.89
2020-06-30,29.0,$-0.52,0.0
2020-03-31,27.97,$-0.49,0.0
2019-12-31,35.19,$-0.72,0.0
2019-09-30,28.36,$0.94,30.17
2019-06-30,32.19,$3.36,9.58
2019-03-31,38.44,$4.89,7.86
2018-12-31,32.6,$5.26,6.2
2018-09-30,39.14,$5.63,6.95
2017-12-31,44.7,$5.32,8.4
2017-09-30,39.35,$7.99,4.92
2017-06-30,45.72,$8.01,5.71
2017-03-31,43.49,$7.54,5.77
2016-12-31,40.85,$7.66,5.33
2018-06-30,36.39,$3.01,12.09
2016-09-30,37.85,$2.66,14.23
2016-06-30,40.89,$2.88,14.2
2016-03-31,36.83,$2.78,13.25
2015-12-31,33.91,$2.68,12.65
2015-09-30,31.38,$2.67,11.75
2015-06-30,27.91,$2.60,10.74
2015-03-31,28.24,$2.50,11.3
2014-12-31,27.55,$2.57,10.72
2014-09-30,25.42,$2.18,11.66
2014-06-30,22.93,$2.17,10.57
2014-03-31,20.23,$2.16,9.37
2013-12-31,20.48,$2.26,9.06
2013-09-30,18.09,$2.57,7.04
2013-06-30,18.18,$2.19,8.3
2013-03-31,17.65,$2.16,8.17
2012-12-31,15.93,$1.95,8.17
2012-09-30,16.69,$1.81,9.22
2012-06-30,17.04,$2.06,8.27
2012-03-31,15.04,$2.46,6.11
2011-12-31,14.25,$2.19,6.51
2011-09-30,12.71,$2.23,5.7
2018-03-31,39.44,$2.10,18.78
2011-06-30,12.33,$1.64,7.52
2011-03-31,11.98,$1.93,6.21
2010-12-31,11.16,$1.87,5.97
2010-09-30,10.73,$1.78,6.03
2010-06-30,8.81,$1.66,5.31
2010-03-31,8.86,$1.65,5.37
2009-12-31,8.34,$1.54,5.41
