Walmart PE Ratio Historical Data,Walmart PE Ratio Historical Data,Walmart PE Ratio Historical Data,Walmart PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,65.38,,38.31
2024-04-30,59.15,$1.71,34.66
2024-01-31,54.71,$1.91,28.59
2023-10-31,53.9,$2.01,26.82
2023-07-31,52.54,$1.73,30.31
2023-04-30,49.43,$1.39,35.65
2023-01-31,46.91,$1.43,32.88
2022-10-31,46.24,$1.08,42.81
2022-07-31,42.71,$1.67,25.58
2022-04-30,49.31,$1.55,31.81
2022-01-31,44.88,$1.06,42.48
2021-10-31,47.78,$1.23,38.85
2021-07-31,45.42,$1.62,28.09
2021-01-31,44.4,$1.58,28.16
2020-10-31,43.69,$2.31,18.94
2020-07-31,40.58,$2.03,19.99
2020-04-30,37.95,$1.66,22.91
2020-01-31,35.58,$1.61,22.1
2021-04-30,44.4,$1.57,28.28
2019-10-31,36.28,$1.67,21.73
2019-07-31,33.99,$1.48,22.97
2019-04-30,31.5,$1.30,24.17
2019-01-31,29.19,$1.05,27.72
2018-10-31,30.38,$0.95,31.98
2018-01-31,31.72,$1.09,29.1
2017-10-31,25.84,$1.25,20.62
2017-07-31,23.53,$0.96,24.43
2017-04-30,21.97,$0.97,22.65
2017-01-31,19.36,$1.04,18.62
2018-07-31,26.88,$0.96,28.0
2016-10-31,20.17,$1.53,13.15
2016-07-31,20.88,$1.55,13.47
2016-04-30,18.99,$1.51,12.6
2016-01-31,18.71,$1.52,12.28
2015-10-31,16.0,$1.56,10.28
2015-07-31,19.99,$1.60,12.52
2015-04-30,21.54,$1.66,13.0
2015-01-31,23.31,$1.68,13.85
2014-10-31,20.8,$1.63,12.79
2014-07-31,19.94,$1.62,12.28
2014-04-30,21.47,$1.62,13.28
2014-01-31,19.99,$1.63,12.29
2013-10-31,20.42,$1.73,11.8
2013-07-31,20.61,$1.71,12.05
2013-04-30,20.43,$1.69,12.09
2013-01-31,18.27,$1.67,10.92
2012-10-31,19.49,$1.62,12.05
2012-07-31,19.23,$1.58,12.2
2012-04-30,15.12,$1.55,9.78
2012-01-31,15.64,$1.51,10.38
2011-10-31,14.37,$1.57,9.13
2011-07-31,13.26,$1.57,8.44
2011-04-30,13.74,$1.53,8.98
2011-01-31,13.91,$1.50,9.27
2010-10-31,13.37,$1.34,10.0
2010-07-31,12.56,$1.30,9.66
2010-04-30,13.08,$1.27,10.3
2010-01-31,12.96,$1.23,10.51
2009-10-31,11.99,$1.15,10.42
2009-07-31,11.97,$1.11,10.78
