Emerson Electric PE Ratio Historical Data,Emerson Electric PE Ratio Historical Data,Emerson Electric PE Ratio Historical Data,Emerson Electric PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,113.42,,6.07
2024-03-31,112.89,$18.69,6.04
2023-12-31,96.4,$19.20,5.02
2023-09-30,95.08,$22.92,4.15
2023-06-30,88.51,$22.87,3.87
2023-03-31,84.79,$8.13,10.43
2022-12-31,92.91,$7.88,11.79
2022-09-30,70.41,$5.41,13.01
2022-06-30,76.04,$5.28,14.4
2022-03-31,93.16,$4.78,19.49
2021-12-31,87.86,$4.58,19.18
2021-09-30,88.55,$3.82,23.18
2021-06-30,90.04,$3.91,23.03
2021-03-31,83.96,$3.54,23.72
2020-12-31,74.35,$3.45,21.55
2020-09-30,60.25,$3.24,18.59
2020-06-30,56.59,$3.20,17.69
2020-03-31,43.07,$3.50,12.31
2019-12-31,68.46,$3.50,19.56
2019-09-30,59.61,$3.71,16.07
2019-06-30,58.98,$3.52,16.75
2019-03-31,60.07,$3.67,16.37
2018-12-31,52.04,$3.59,14.5
2018-09-30,66.23,$3.46,19.14
2018-06-30,59.4,$3.27,18.17
2018-03-31,58.29,$2.79,20.89
2017-12-31,59.07,$2.48,23.82
2017-09-30,52.83,$2.35,22.48
2017-06-30,49.73,$2.25,22.1
2017-03-31,49.52,$2.35,21.07
2016-12-31,45.78,$2.47,18.53
2016-09-30,44.35,$2.52,17.6
2016-06-30,42.06,$2.82,14.92
2016-03-31,43.46,$2.92,14.88
2015-12-31,37.83,$3.77,10.04
2015-09-30,34.59,$3.99,8.67
2015-06-30,43.0,$3.59,11.98
2015-03-31,43.59,$3.78,11.53
2014-12-31,47.13,$3.13,15.06
2014-09-30,47.44,$3.03,15.66
2014-06-30,49.96,$3.55,14.07
2014-03-31,49.97,$2.79,17.91
2013-12-31,52.16,$2.79,18.69
2013-09-30,47.78,$2.76,17.31
2013-06-30,40.01,$2.05,19.52
2013-03-31,40.7,$2.82,14.43
2012-12-31,38.31,$2.79,13.73
2012-09-30,34.62,$2.67,12.97
2012-06-30,33.15,$3.29,10.08
2012-03-31,36.83,$3.15,11.69
2011-12-31,32.63,$3.14,10.39
2011-09-30,28.71,$3.27,8.78
2011-06-30,38.78,$3.24,11.97
2011-03-31,40.03,$3.11,12.87
2010-12-31,38.94,$2.91,13.38
2010-09-30,35.65,$2.95,12.09
2010-06-30,29.38,$2.48,11.85
2010-03-31,33.62,$2.20,15.28
2009-09-30,26.36,$2.23,11.82
