Starbucks PE Ratio Historical Data,Starbucks PE Ratio Historical Data,Starbucks PE Ratio Historical Data,Starbucks PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,78.87,,21.73
2024-03-31,90.7,$3.63,24.99
2023-12-31,94.73,$3.74,25.33
2023-09-30,89.55,$3.58,25.01
2023-06-30,96.69,$3.28,29.48
2023-03-31,101.13,$3.08,32.84
2022-12-31,95.87,$2.87,33.4
2022-09-30,80.96,$2.82,28.71
2022-06-30,72.99,$3.55,20.56
2022-03-31,86.31,$3.73,23.14
2021-12-31,110.42,$3.71,29.76
2021-09-30,103.68,$3.55,29.21
2021-06-30,104.69,$2.39,43.8
2021-03-31,101.89,$0.84,121.3
2020-12-31,99.33,$0.56,177.37
2020-09-30,79.39,$0.77,103.11
2020-06-30,67.63,$1.11,60.93
2020-03-31,60.09,$2.81,21.39
2019-12-31,80.0,$3.06,26.14
2019-09-30,80.06,$2.93,27.32
2019-06-30,75.61,$2.82,26.81
2019-03-31,67.05,$2.31,29.03
2018-12-31,57.79,$2.25,25.68
2018-09-30,50.73,$3.21,15.8
2018-06-30,43.3,$3.19,13.57
2018-03-31,51.04,$3.05,16.73
2017-12-31,50.36,$3.03,16.62
2017-09-30,46.85,$1.97,23.78
2017-06-30,50.63,$1.97,25.7
2017-03-31,50.49,$2.01,25.12
2016-12-31,47.79,$1.95,24.51
2016-09-30,46.39,$1.87,24.81
2016-06-30,48.77,$1.74,28.03
2016-03-31,50.8,$1.56,32.56
2015-09-30,48.05,$1.82,26.4
2015-06-30,45.2,$1.78,25.46
2015-03-31,39.79,$1.70,23.4
2014-12-31,34.35,$1.65,20.82
2014-09-30,31.46,$1.36,23.22
2014-06-30,32.15,$1.29,25.02
2014-03-31,30.38,$1.23,24.8
2013-12-31,32.33,$1.20,26.94
2013-09-30,31.64,$1.13,28.0
2013-06-30,26.85,$1.05,25.7
2013-03-31,23.27,$0.99,23.62
2012-12-31,21.83,$0.93,23.47
2012-09-30,20.55,$0.90,22.97
2012-06-30,21.53,$0.90,23.92
2012-03-31,22.5,$0.87,26.01
2011-12-31,18.46,$0.84,22.1
2011-09-30,14.9,$0.81,18.4
2011-06-30,15.72,$0.76,20.68
2011-03-31,14.66,$0.72,20.5
2010-12-31,12.69,$0.69,18.53
2010-09-30,10.05,$0.62,16.21
2010-06-30,9.51,$0.54,17.77
2010-03-31,9.46,$0.86,11.0
2009-12-31,8.99,$0.82,10.96
2009-09-30,8.05,$0.68,11.92
