WEC Energy PE Ratio Historical Data,WEC Energy PE Ratio Historical Data,WEC Energy PE Ratio Historical Data,WEC Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,80.7,,17.62
2024-03-31,81.32,$4.58,17.76
2023-12-31,82.45,$4.22,19.54
2023-09-30,78.14,$4.33,18.05
2023-06-30,84.83,$4.29,19.77
2023-03-31,90.38,$4.28,21.12
2022-12-31,88.65,$4.46,19.88
2022-09-30,83.91,$4.37,19.2
2022-06-30,93.78,$4.33,21.66
2022-03-31,92.34,$4.29,21.52
2021-12-31,89.09,$4.11,21.68
2021-09-30,80.35,$4.16,19.31
2021-06-30,80.46,$4.08,19.72
2021-03-31,84.06,$3.97,21.17
2020-12-31,82.0,$3.79,21.64
2020-09-30,85.81,$3.80,22.58
2020-06-30,77.09,$3.70,20.83
2020-03-31,76.93,$3.68,20.91
2019-12-31,80.01,$3.58,22.35
2019-09-30,81.95,$3.46,23.69
2019-06-30,71.38,$3.46,20.63
2019-03-31,67.21,$3.45,19.48
2018-12-31,58.4,$3.35,17.43
2018-09-30,55.85,$4.06,13.76
2018-06-30,53.64,$4.00,13.41
2018-03-31,51.56,$3.90,13.22
2017-12-31,54.14,$3.79,14.29
2017-09-30,50.78,$3.04,16.7
2017-06-30,49.25,$3.04,16.2
2017-03-31,48.24,$2.98,16.19
2016-12-31,46.24,$2.95,15.68
2016-09-30,46.8,$2.91,16.08
2016-06-30,50.63,$2.81,18.02
2016-03-31,46.2,$2.59,17.84
2015-12-31,39.12,$2.36,16.58
2015-09-30,39.45,$2.32,17.0
2015-06-30,33.82,$2.30,14.7
2015-03-31,36.73,$2.53,14.52
2014-12-31,38.81,$2.58,15.04
2014-09-30,31.39,$2.68,11.71
2014-06-30,33.94,$2.72,12.48
2014-03-31,33.39,$2.66,12.55
2013-12-31,29.39,$2.51,11.71
2013-09-30,28.44,$2.31,12.31
2013-06-30,28.61,$2.38,12.02
2013-03-31,29.7,$2.37,12.53
2012-12-31,25.3,$2.35,10.77
2012-09-30,25.66,$2.42,10.6
2012-06-30,26.75,$2.30,11.63
2012-03-31,23.59,$2.25,10.48
2011-12-31,23.24,$2.23,10.42
2011-09-30,20.63,$2.26,9.13
2011-06-30,20.48,$2.19,9.37
2011-03-31,19.76,$2.10,9.41
2010-12-31,18.9,$1.93,9.79
2010-09-30,18.44,$1.90,9.7
2010-06-30,16.07,$1.68,9.59
2010-03-31,15.53,$1.57,9.89
2009-12-31,15.53,$1.62,9.59
