Deckers Outdoor PE Ratio Historical Data,Deckers Outdoor PE Ratio Historical Data,Deckers Outdoor PE Ratio Historical Data,Deckers Outdoor PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,1032.9,,37.15
2023-12-31,668.43,$27.80,24.04
2023-09-30,514.09,$23.17,22.19
2023-06-30,527.66,$20.15,26.19
2023-03-31,449.55,$19.40,23.17
2022-12-31,399.16,$18.45,21.63
2022-09-30,312.61,$16.39,19.07
2022-06-30,255.35,$16.25,15.71
2022-03-31,273.77,$16.30,16.8
2021-12-31,366.31,$14.97,24.47
2021-09-30,360.2,$15.54,23.18
2021-06-30,384.07,$15.46,24.84
2021-03-31,330.42,$13.47,24.53
2020-12-31,286.78,$12.86,22.3
2020-09-30,220.01,$11.01,19.98
2020-06-30,196.39,$10.14,19.37
2020-03-31,134.0,$9.75,13.74
2019-12-31,168.86,$10.00,16.89
2019-09-30,147.36,$9.54,15.45
2019-06-30,175.97,$9.31,18.9
2019-03-31,146.99,$8.98,16.37
2018-12-31,127.95,$8.82,14.51
2018-09-30,118.58,$4.83,24.55
2018-06-30,112.89,$3.89,29.02
2018-03-31,90.03,$3.57,25.22
2017-12-31,80.25,$2.42,33.16
2017-09-30,68.41,$1.00,68.41
2017-06-30,68.26,$0.67,101.88
2017-03-31,59.73,$0.15,398.2
2016-12-31,55.39,$-0.09,0.0
2016-09-30,59.55,$3.42,17.41
2016-06-30,57.52,$3.32,17.33
2016-03-31,59.91,$3.73,16.06
2015-12-31,47.2,$4.50,10.49
2015-09-30,58.06,$4.22,13.76
2015-06-30,71.97,$4.28,16.82
2015-03-31,72.87,$4.64,15.7
2014-12-31,91.04,$4.52,20.14
2014-09-30,97.18,$0.02,4859.0
2014-06-30,86.33,$-0.20,0.0
2014-03-31,79.73,$0.02,3986.5
2013-12-31,84.46,$0.13,649.69
2013-09-30,65.92,$0.13,507.08
2013-06-30,50.51,$0.36,140.31
2013-03-31,55.69,$0.68,81.9
2012-12-31,40.27,$0.85,47.38
2012-09-30,36.64,$0.85,43.11
2012-06-30,44.01,$1.26,34.93
2012-03-31,63.05,$1.60,39.41
2011-12-31,75.57,$1.40,53.98
2011-09-30,93.16,$2.47,37.72
2011-06-30,88.14,$1.11,79.41
2010-12-31,79.74,$1.76,45.31
2010-09-30,49.96,$1.76,28.39
2010-06-30,47.62,$1.55,30.72
2010-03-31,46.0,$1.39,33.09
2009-12-31,33.91,$1.24,27.34
2009-09-30,28.28,$1.73,16.35
