Bunge Global SA PE Ratio Historical Data,Bunge Global SA PE Ratio Historical Data,Bunge Global SA PE Ratio Historical Data,Bunge Global SA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,103.77,,8.36
2024-03-31,101.85,$12.42,8.2
2023-12-31,99.56,$14.89,6.69
2023-09-30,106.1,$12.92,8.21
2023-06-30,91.93,$12.94,7.1
2023-03-31,92.41,$10.19,9.07
2022-12-31,95.92,$10.52,9.12
2022-09-30,78.89,$9.83,8.03
2022-06-30,86.11,$11.62,7.41
2022-03-31,104.73,$12.65,8.28
2021-12-31,87.78,$13.69,6.41
2021-09-30,76.04,$15.91,4.78
2021-06-30,72.58,$13.47,5.39
2021-03-31,73.21,$14.57,5.02
2020-12-31,60.18,$7.59,7.93
2020-09-30,41.59,$3.37,12.34
2020-06-30,37.02,$-9.04,0.0
2020-03-31,36.4,$-11.08,0.0
2019-12-31,50.61,$-9.36,0.0
2019-09-30,49.35,$-9.40,0.0
2019-06-30,48.12,$3.61,13.33
2019-03-31,45.41,$2.03,22.37
2018-12-31,45.29,$1.56,29.03
2018-09-30,57.74,$1.60,36.08
2018-06-30,58.12,$-0.25,0.0
2018-03-31,61.24,$0.41,149.37
2017-12-31,55.23,$0.89,62.06
2017-09-30,56.79,$3.19,17.8
2017-06-30,60.62,$3.43,17.67
2017-03-31,64.02,$3.70,17.3
2016-12-31,58.0,$4.97,11.67
2016-09-30,47.26,$4.45,10.62
2016-06-30,46.89,$5.18,9.05
2016-03-31,44.64,$4.90,9.11
2015-12-31,53.39,$5.03,10.61
2015-09-30,57.0,$4.29,13.29
2015-06-30,67.93,$4.63,14.67
2015-03-31,63.49,$5.94,10.69
2014-12-31,69.79,$4.09,17.06
2014-09-30,64.41,$4.31,14.94
2014-06-30,57.6,$1.47,39.19
2014-03-31,60.32,$0.41,147.11
2013-12-31,62.05,$1.74,35.66
2013-09-30,57.15,$-3.21,0.0
2013-06-30,53.08,$-0.35,0.0
2013-03-31,55.16,$0.68,81.12
2012-12-31,54.11,$0.10,541.11
2012-09-30,49.72,$5.92,8.4
2012-06-30,46.33,$4.89,9.47
2012-03-31,50.33,$5.13,9.81
2011-12-31,41.91,$6.05,6.93
2011-09-30,42.54,$6.35,6.7
2011-06-30,50.11,$6.82,7.35
2011-03-31,52.4,$15.95,3.29
2010-12-31,47.32,$14.77,3.2
2010-09-30,42.56,$12.61,3.38
2010-06-30,35.24,$12.87,2.74
2010-03-31,43.97,$4.00,10.99
2009-12-31,45.38,$1.93,23.51
