W.W Grainger PE Ratio Historical Data,W.W Grainger PE Ratio Historical Data,W.W Grainger PE Ratio Historical Data,W.W Grainger PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,966.4,,26.68
2024-03-31,1015.13,$36.22,28.03
2023-12-31,825.32,$36.21,22.79
2023-09-30,687.41,$35.86,19.17
2023-06-30,781.51,$34.70,22.52
2023-03-31,680.75,$32.61,20.88
2022-12-31,548.3,$30.07,18.23
2022-09-30,480.84,$27.97,17.19
2022-06-30,445.3,$25.35,17.57
2022-03-31,503.61,$22.43,22.45
2021-12-31,504.26,$19.84,25.42
2021-09-30,381.15,$17.52,21.76
2021-06-30,423.17,$16.28,25.99
2021-03-31,386.01,$14.11,27.36
2020-12-31,391.51,$12.82,30.54
2020-09-30,340.73,$11.58,29.42
2020-06-30,298.73,$11.42,26.16
2020-03-31,235.11,$13.99,16.81
2019-12-31,318.75,$15.28,20.86
2019-09-30,278.54,$17.08,16.31
2019-06-30,250.09,$14.65,17.07
2019-03-31,279.08,$14.14,19.74
2018-12-31,260.68,$13.73,18.99
2018-09-30,328.44,$12.68,25.9
2018-06-30,282.31,$13.65,20.68
2018-03-31,257.21,$11.16,23.05
2017-12-31,214.25,$10.02,21.38
2017-09-30,161.99,$8.40,19.28
2017-06-30,161.43,$8.66,18.64
2017-03-31,206.72,$9.78,21.14
2016-12-31,205.28,$9.83,20.88
2016-09-30,197.64,$11.12,17.77
2016-06-30,198.65,$10.99,18.08
2016-03-31,202.98,$11.45,17.73
2015-12-31,175.18,$11.54,15.18
2015-09-30,184.89,$11.38,16.25
2015-06-30,202.45,$11.76,17.22
2015-03-31,200.78,$11.45,17.54
2014-12-31,216.05,$11.45,18.87
2014-09-30,212.4,$11.51,18.45
2014-06-30,213.62,$11.16,19.14
2014-03-31,211.37,$11.25,18.79
2013-12-31,212.83,$11.12,19.14
2013-09-30,217.33,$11.09,19.6
2013-06-30,208.67,$10.29,20.28
2013-03-31,185.48,$9.89,18.75
2012-12-31,166.22,$9.52,17.46
2012-09-30,170.46,$9.39,18.15
2012-06-30,155.84,$9.75,15.98
2012-03-31,174.36,$9.46,18.43
2011-12-31,151.44,$9.07,16.7
2011-09-30,120.52,$8.86,13.6
2011-06-30,123.24,$8.41,14.65
2011-03-31,109.94,$7.80,14.09
2010-12-31,109.84,$6.93,15.85
2010-09-30,94.33,$6.37,14.81
2010-06-30,78.39,$6.19,12.66
2010-03-31,84.79,$5.67,14.95
2009-12-31,75.59,$5.61,13.47
