Bio-Techne Corp PE Ratio Historical Data,Bio-Techne Corp PE Ratio Historical Data,Bio-Techne Corp PE Ratio Historical Data,Bio-Techne Corp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,80.79,,64.12
2024-03-31,70.32,$1.26,55.81
2023-12-31,76.99,$1.38,55.79
2023-09-30,67.83,$1.52,44.62
2023-06-30,81.26,$1.76,46.1
2023-03-31,73.78,$1.67,44.18
2022-12-31,82.33,$1.61,51.14
2022-09-30,70.47,$1.79,39.48
2022-06-30,85.94,$1.66,51.93
2022-03-31,107.26,$1.37,78.29
2021-12-31,128.05,$1.28,100.04
2021-09-30,119.86,$1.08,110.72
2021-06-30,111.3,$0.87,128.3
2021-03-31,94.33,$1.15,82.39
2020-12-31,78.37,$1.10,71.57
2020-09-30,61.07,$1.56,39.09
2020-06-30,65.02,$1.46,44.53
2020-03-31,46.63,$1.38,33.85
2019-12-31,53.9,$1.26,42.78
2019-06-30,51.03,$0.62,82.64
2019-03-31,48.52,$0.78,62.21
2018-12-31,35.31,$0.59,60.35
2018-09-30,49.7,$0.60,82.49
2018-06-30,35.96,$0.81,44.26
2019-09-30,47.97,$0.65,73.8
2018-03-31,36.64,$0.75,48.85
2017-12-31,31.35,$0.76,41.12
2017-09-30,29.18,$0.48,60.48
2017-06-30,28.29,$0.49,58.32
2017-03-31,24.4,$0.47,52.47
2016-12-31,24.61,$0.53,46.87
2016-09-30,26.12,$0.66,39.88
2016-06-30,26.82,$0.70,38.32
2016-03-31,22.41,$0.71,31.79
2015-12-31,21.26,$0.67,31.97
2015-09-30,21.76,$0.72,30.44
2015-06-30,23.11,$0.72,31.98
2015-03-31,23.46,$0.73,32.36
2014-12-31,21.54,$0.78,27.79
2014-09-30,21.73,$0.72,30.08
2014-06-30,21.43,$0.75,28.67
2014-03-31,19.7,$0.76,25.92
2013-12-31,21.77,$0.77,28.18
2013-09-30,18.34,$0.78,23.67
2013-06-30,15.77,$0.77,20.61
2013-03-31,15.42,$0.76,20.35
2012-12-31,15.46,$0.75,20.68
2012-09-30,16.2,$0.75,21.61
2012-06-30,16.64,$0.76,21.9
2012-03-31,15.66,$0.77,20.47
2011-12-31,15.19,$0.76,19.98
2011-09-30,15.07,$0.76,19.77
2011-06-30,18.4,$0.76,24.37
2011-03-31,15.75,$0.74,21.35
2010-12-31,14.39,$0.75,19.31
2010-09-30,13.47,$0.73,18.38
2010-06-30,12.48,$0.74,16.98
2010-03-31,13.75,$0.73,18.78
2009-12-31,14.77,$0.70,21.1
