American PE Ratio Historical Data,American PE Ratio Historical Data,American PE Ratio Historical Data,American PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,78.03,,11.65
2024-03-31,78.17,$6.70,11.67
2023-12-31,67.43,$4.99,13.51
2023-09-30,59.99,$5.22,11.49
2023-06-30,56.63,$5.91,9.58
2023-03-31,49.25,$7.66,6.43
2022-12-31,61.45,$12.01,5.12
2022-09-30,45.9,$13.58,3.38
2022-06-30,49.14,$10.19,4.82
2021-12-31,54.03,$10.82,4.99
2021-09-30,51.85,$6.37,8.14
2021-06-30,44.7,$9.60,4.66
2021-03-31,43.13,$9.81,4.4
2020-12-31,35.1,$-3.75,0.0
2022-03-31,59.96,$-1.70,0.0
2020-09-30,25.31,$-5.82,0.0
2020-06-30,28.37,$-5.42,0.0
2020-03-31,21.85,$4.97,4.4
2019-12-31,45.74,$3.74,12.23
2019-09-30,49.32,$2.01,24.54
2019-06-30,46.91,$-0.12,0.0
2019-03-31,37.68,$-0.34,0.0
2018-12-31,34.24,$-0.08,0.0
2018-09-30,45.85,$-6.71,0.0
2018-06-30,45.39,$-7.21,0.0
2018-03-31,46.32,$-7.04,0.0
2017-12-31,50.42,$-6.87,0.0
2017-09-30,51.67,$-2.51,0.0
2017-06-30,52.34,$-0.18,0.0
2017-03-31,52.01,$-1.53,0.0
2016-12-31,54.13,$-4.21,0.0
2016-09-30,48.94,$-1.42,0.0
2016-03-31,44.08,$-0.52,0.0
2015-12-31,50.23,$1.42,35.37
2015-09-30,45.85,$3.38,13.56
2015-06-30,49.64,$5.24,9.47
2015-03-31,43.91,$5.44,8.07
2014-12-31,44.78,$5.76,7.77
2016-06-30,43.38,$6.39,6.79
2014-09-30,43.09,$6.05,7.12
2014-06-30,43.44,$5.99,7.25
2014-03-31,39.71,$5.73,6.93
2013-12-31,40.44,$6.13,6.6
2013-09-30,38.44,$2.11,18.22
2013-06-30,35.27,$1.78,19.81
2013-03-31,30.63,$1.27,24.12
2012-12-31,27.85,$1.49,18.69
2012-09-30,25.87,$14.60,1.77
2012-06-30,25.32,$11.31,2.24
2012-03-31,24.32,$10.98,2.22
2011-12-31,18.3,$8.92,2.05
2011-09-30,17.32,$15.09,1.15
2011-06-30,23.13,$-0.37,0.0
2011-03-31,27.72,$-5.33,0.0
2010-12-31,38.15,$-2.82,0.0
2010-09-30,25.89,$-84.93,0.0
2010-06-30,22.8,$-66.63,0.0
2010-03-31,22.6,$-60.37,0.0
2009-12-31,19.85,$-102.13,0.0
