NVIDIA PE Ratio Historical Data,NVIDIA PE Ratio Historical Data,NVIDIA PE Ratio Historical Data,NVIDIA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,1064.69,,95.75
2024-04-30,864.02,$11.12,77.7
2024-01-31,615.24,$11.94,51.53
2023-10-31,407.75,$7.58,53.79
2023-07-31,467.19,$4.14,112.85
2023-04-30,277.4,$1.92,144.48
2023-01-31,195.27,$1.74,112.23
2022-10-31,134.87,$2.35,57.39
2022-07-31,181.44,$3.05,59.49
2022-04-30,185.24,$3.73,49.66
2022-01-31,244.52,$3.85,63.55
2021-10-31,255.28,$3.25,78.67
2021-07-31,194.66,$2.81,69.4
2021-04-30,149.8,$2.11,70.91
2021-01-31,129.6,$1.72,75.24
2020-10-31,125.02,$1.53,81.85
2020-07-31,105.85,$1.36,77.83
2020-04-30,72.83,$1.34,54.45
2020-01-31,58.88,$1.20,49.06
2019-10-31,50.02,$1.31,38.18
2019-07-31,41.94,$1.39,30.23
2019-01-31,35.66,$1.66,21.51
2018-10-31,52.3,$1.87,27.93
2018-07-31,60.7,$1.71,35.45
2018-04-30,55.72,$1.50,37.09
2018-01-31,60.86,$1.21,50.51
2017-10-31,51.17,$1.01,50.79
2017-07-31,40.18,$0.88,45.53
2017-04-30,25.76,$0.75,34.23
2017-01-31,26.93,$0.64,42.24
2016-10-31,17.53,$0.55,31.87
2016-07-31,14.04,$0.43,32.65
2016-04-30,8.71,$0.44,19.8
2019-04-30,44.94,$0.37,121.47
2016-01-31,7.16,$0.27,26.5
2015-10-31,6.91,$0.27,25.58
2015-07-31,4.84,$0.24,20.36
2015-04-30,5.36,$0.28,19.13
2015-01-31,4.62,$0.28,16.49
2014-10-31,4.68,$0.26,18.34
2014-07-31,4.17,$0.23,18.33
2014-04-30,4.38,$0.21,20.62
2014-01-31,3.71,$0.19,20.04
2013-10-31,3.57,$0.19,18.53
2013-07-31,3.37,$0.23,14.99
2013-04-30,3.2,$0.23,13.77
2013-01-31,2.83,$0.23,12.59
2012-10-31,2.75,$0.20,13.58
2012-07-31,3.11,$0.19,16.15
2012-04-30,2.98,$0.21,14.38
2012-01-31,3.39,$0.24,14.28
2011-10-31,3.4,$0.26,13.07
2011-07-31,3.18,$0.23,14.11
2011-04-30,4.59,$0.10,45.92
2011-01-31,5.49,$0.10,53.58
2010-10-31,2.76,$0.09,30.66
2010-07-31,2.11,$0.10,21.1
2010-04-30,3.61,$0.12,31.36
2010-01-31,3.53,$-0.04,0.0
2009-10-31,2.75,$-0.16,0.0
