Amcor PE Ratio Historical Data,Amcor PE Ratio Historical Data,Amcor PE Ratio Historical Data,Amcor PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,9.94,,22.09
2024-03-31,9.51,$0.45,21.13
2023-12-31,9.64,$0.44,21.91
2023-09-30,9.16,$0.66,13.88
2023-06-30,9.98,$0.71,14.06
2023-03-31,11.24,$0.66,17.04
2022-12-31,11.77,$0.72,16.34
2022-09-30,10.6,$0.56,18.93
2022-06-30,12.16,$0.53,22.94
2022-03-31,10.98,$0.62,17.71
2021-12-31,11.52,$0.61,18.89
2021-09-30,11.01,$0.60,18.35
2021-06-30,10.78,$0.60,17.97
2021-03-31,10.88,$0.44,24.72
2020-12-31,10.85,$0.38,28.55
2020-09-30,10.08,$0.36,28.01
2020-06-30,9.23,$0.27,34.17
2020-03-31,7.25,$0.27,26.86
