Centene PE Ratio Historical Data,Centene PE Ratio Historical Data,Centene PE Ratio Historical Data,Centene PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,74.63,,14.84
2024-03-31,78.48,$5.03,15.6
2023-12-31,74.21,$4.91,15.11
2023-09-30,68.88,$4.45,15.48
2023-06-30,67.45,$4.85,13.91
2023-03-31,63.21,$2.64,23.94
2022-12-31,82.01,$1.61,50.94
2022-09-30,77.81,$2.98,26.11
2022-06-30,84.61,$0.79,107.1
2021-12-31,82.4,$2.27,36.3
2021-09-30,62.31,$1.24,50.25
2021-06-30,72.93,$1.69,43.15
2021-03-31,63.91,$3.58,17.85
2020-12-31,60.03,$4.44,13.52
2022-03-31,84.19,$4.54,18.54
2020-09-30,58.33,$3.59,16.25
2020-06-30,63.55,$2.85,22.3
2020-03-31,59.41,$1.98,30.01
2019-12-31,62.87,$3.14,20.02
2019-09-30,43.26,$3.23,13.41
2019-06-30,52.44,$3.04,17.25
2019-03-31,53.1,$2.61,20.34
2018-12-31,57.65,$2.33,24.8
2018-09-30,72.39,$2.40,30.16
2018-06-30,61.61,$2.94,20.99
2018-03-31,53.44,$2.91,18.39
2017-12-31,50.44,$2.35,21.51
2017-09-30,48.39,$2.44,19.83
2017-06-30,39.94,$2.28,17.56
2017-03-31,35.63,$1.49,23.99
2016-12-31,28.26,$1.54,18.35
2016-09-30,33.48,$1.18,28.49
2016-03-31,30.79,$1.12,27.49
2015-12-31,32.91,$1.45,22.77
2015-09-30,27.12,$1.44,18.9
2015-06-30,40.2,$1.54,26.1
2015-03-31,35.35,$1.52,23.25
2014-12-31,25.96,$1.47,17.66
2016-06-30,35.69,$1.17,30.5
2014-09-30,20.68,$0.92,22.54
2014-06-30,18.9,$0.80,23.78
2014-03-31,15.56,$0.77,20.34
2013-12-31,14.74,$0.73,20.19
2013-09-30,15.99,$0.54,29.61
2013-06-30,13.12,$0.34,38.57
2013-03-31,11.01,$-0.01,0.0
2012-12-31,10.25,$0.00,0.0
2012-09-30,9.35,$0.10,91.24
2012-06-30,7.54,$0.22,33.89
2012-03-31,12.24,$0.53,23.21
2011-12-31,9.9,$0.53,18.67
2011-09-30,7.17,$0.51,13.99
2011-06-30,8.88,$0.49,18.31
2011-03-31,8.25,$0.46,17.83
2010-12-31,6.34,$0.47,13.48
2010-09-30,5.9,$0.48,12.35
2010-06-30,5.38,$0.49,11.03
2010-03-31,6.01,$0.49,12.27
2009-12-31,5.29,$0.47,11.2
