Yum! Brands PE Ratio Historical Data,Yum! Brands PE Ratio Historical Data,Yum! Brands PE Ratio Historical Data,Yum! Brands PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,137.65,,24.41
2024-03-31,137.98,$5.64,24.46
2023-12-31,129.38,$5.59,23.14
2023-09-30,123.13,$5.26,23.41
2023-06-30,135.91,$4.94,27.51
2023-03-31,128.96,$4.25,30.34
2022-12-31,124.48,$4.56,27.3
2022-09-30,102.89,$4.38,23.49
2022-06-30,109.27,$4.99,21.9
2022-03-31,113.55,$5.51,20.61
2021-12-31,132.41,$5.22,25.37
2021-09-30,116.18,$5.19,22.38
2021-06-30,108.85,$4.36,24.96
2021-03-31,101.94,$3.74,27.26
2020-12-31,101.82,$2.94,34.63
2020-09-30,85.25,$3.44,24.78
2020-06-30,80.76,$3.33,24.25
2020-03-31,63.35,$3.58,17.7
2019-12-31,92.71,$4.14,22.39
2019-09-30,103.95,$3.60,28.88
2019-06-30,101.05,$4.19,24.12
2019-03-31,90.76,$4.24,21.41
2018-12-31,83.21,$4.68,17.78
2018-09-30,81.96,$4.90,16.73
2018-06-30,70.21,$4.68,15.0
2018-03-31,76.09,$4.48,16.98
2017-12-31,72.61,$3.92,18.52
2017-09-30,65.24,$4.22,15.46
2017-03-31,56.15,$3.85,14.58
2016-12-31,55.39,$4.01,13.81
2016-09-30,56.64,$3.93,14.41
2016-06-30,51.44,$2.95,17.44
2016-03-31,50.5,$3.09,16.34
2015-12-31,44.77,$2.69,16.64
2017-06-30,65.11,$2.87,22.69
2015-09-30,48.67,$2.09,23.29
2015-06-30,54.59,$2.03,26.89
2015-03-31,47.45,$2.23,21.28
2014-12-31,43.67,$2.29,19.07
2014-09-30,42.88,$3.19,13.44
2014-06-30,48.16,$2.63,18.31
2014-03-31,44.5,$2.51,17.73
2013-12-31,44.41,$2.36,18.82
2013-09-30,41.7,$2.38,17.52
2013-06-30,40.31,$3.05,13.22
2013-03-31,41.62,$3.13,13.3
2012-12-31,38.21,$3.37,11.34
2012-09-30,38.0,$3.40,11.18
2012-06-30,36.73,$3.20,11.48
2012-03-31,40.42,$3.16,12.79
2011-12-31,33.35,$2.74,12.17
2011-09-30,27.76,$2.55,10.89
2011-06-30,30.91,$2.49,12.41
2011-03-31,28.61,$2.43,11.77
2010-12-31,27.17,$2.34,11.61
2010-09-30,25.38,$2.47,10.28
2010-06-30,21.41,$2.36,9.07
2009-12-31,18.97,$2.23,8.51
2009-09-30,18.2,$2.28,7.98
