Ross Stores PE Ratio Historical Data,Ross Stores PE Ratio Historical Data,Ross Stores PE Ratio Historical Data,Ross Stores PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,142.13,,25.56
2024-01-31,139.93,$5.56,25.17
2023-10-31,115.39,$5.05,22.85
2023-07-31,113.75,$4.72,24.1
2023-04-30,105.56,$4.51,23.41
2023-01-31,116.52,$4.39,26.54
2022-10-31,94.09,$4.12,22.84
2022-07-31,79.62,$4.21,18.91
2022-04-30,97.38,$4.49,21.69
2022-01-31,95.06,$4.86,19.56
2021-10-31,109.81,$4.49,24.46
2021-07-31,118.73,$3.77,31.49
2021-04-30,126.41,$2.44,51.81
2021-01-31,107.19,$0.23,466.06
2020-10-31,82.03,$0.84,97.66
2020-07-31,86.37,$1.50,57.58
2020-04-30,88.0,$2.58,34.11
2020-01-31,107.64,$4.60,23.4
2019-10-31,104.99,$4.52,23.23
2019-07-31,101.27,$4.40,23.02
2019-04-30,93.03,$4.30,21.64
2019-01-31,87.75,$4.26,20.6
2018-10-31,94.05,$4.25,22.13
2018-07-31,82.87,$4.06,20.41
2018-04-30,76.43,$3.84,19.9
2018-01-31,77.66,$3.55,21.88
2017-10-31,59.72,$3.13,19.08
2017-07-31,51.89,$3.12,16.63
2017-04-30,60.82,$3.03,20.07
2017-01-31,61.71,$2.87,21.5
2016-07-31,57.47,$2.63,21.85
2016-04-30,52.65,$2.55,20.65
2016-01-31,52.04,$2.51,20.77
2015-10-31,46.69,$2.47,18.94
2015-07-31,48.95,$2.54,19.31
2015-04-30,45.41,$2.37,19.16
2016-10-31,58.26,$2.26,25.84
2015-01-31,42.03,$2.21,19.02
2014-10-31,36.91,$2.12,17.41
2014-07-31,29.37,$2.06,14.29
2014-04-30,30.96,$1.98,15.67
2014-01-31,30.79,$1.94,15.91
2013-10-31,34.99,$1.96,17.85
2013-07-31,30.46,$1.92,15.86
2013-04-30,29.74,$1.84,16.21
2013-01-31,26.79,$1.77,15.18
2012-10-31,27.29,$1.66,16.49
2012-07-31,29.68,$1.61,18.44
2012-04-30,27.42,$1.53,17.98
2012-01-31,22.59,$1.43,15.8
2011-10-31,19.45,$1.35,14.43
2011-07-31,16.75,$1.29,13.01
2011-04-30,16.25,$1.24,13.15
2011-01-31,14.33,$1.16,12.41
2010-10-31,12.93,$1.10,11.73
2010-07-31,11.51,$1.06,10.88
2010-04-30,12.2,$1.00,12.26
2010-01-31,9.98,$0.89,11.27
2009-10-31,9.53,$0.79,12.15
