DTE Energy PE Ratio Historical Data,DTE Energy PE Ratio Historical Data,DTE Energy PE Ratio Historical Data,DTE Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,112.96,,18.49
2024-03-31,112.14,$6.11,18.35
2023-12-31,109.23,$6.76,16.16
2023-09-30,97.45,$6.05,16.11
2023-06-30,107.04,$6.43,16.65
2023-03-31,105.69,$5.65,18.71
2022-12-31,112.4,$5.52,20.36
2022-09-30,109.13,$5.78,18.88
2022-06-30,119.41,$3.92,30.46
2022-03-31,123.62,$4.65,26.58
2021-12-31,110.99,$4.67,23.77
2021-09-30,102.94,$4.52,22.77
2021-06-30,118.57,$6.85,17.31
2021-03-31,119.81,$7.37,16.26
2020-12-31,108.33,$7.08,15.3
2020-09-30,101.74,$7.06,14.41
2020-06-30,94.22,$6.33,14.88
2020-03-31,82.44,$5.88,14.02
2019-12-31,111.57,$6.31,17.68
2019-09-30,113.3,$5.96,19.01
2019-06-30,108.18,$6.07,17.82
2019-03-31,104.76,$6.37,16.45
2018-12-31,91.93,$6.18,14.88
2018-09-30,90.23,$6.73,13.41
2018-06-30,85.02,$6.40,13.28
2018-03-31,84.88,$6.10,13.91
2017-12-31,88.23,$6.33,13.94
2017-09-30,85.87,$5.46,15.73
2017-06-30,83.99,$5.83,14.41
2017-03-31,80.47,$5.68,14.17
2016-12-31,77.0,$4.82,15.97
2016-09-30,72.6,$4.54,15.99
2016-06-30,76.18,$4.13,18.45
2016-03-31,69.14,$3.90,17.73
2015-12-31,60.66,$4.06,14.94
2015-09-30,60.25,$5.29,11.39
2015-06-30,55.44,$4.70,11.8
2015-03-31,59.38,$4.79,12.4
2014-12-31,63.01,$3.96,15.91
2014-09-30,55.04,$3.41,16.14
2014-06-30,55.84,$3.13,17.84
2013-12-31,46.76,$3.77,12.4
2013-09-30,46.01,$3.54,13.0
2013-06-30,46.27,$4.25,10.89
2013-03-31,46.73,$4.96,9.42
2012-12-31,40.68,$4.48,9.08
2014-03-31,52.81,$4.92,10.73
2012-09-30,40.2,$3.96,10.15
2012-06-30,39.38,$3.72,10.59
2012-03-31,36.17,$4.05,8.93
2011-12-31,35.41,$4.18,8.47
2011-09-30,31.52,$4.20,7.5
2011-06-30,31.79,$4.09,7.77
2011-03-31,30.75,$3.41,9.02
2010-12-31,28.13,$3.75,7.5
2010-09-30,28.16,$3.57,7.89
2010-06-30,27.63,$3.57,7.74
2010-03-31,26.73,$3.57,7.49
2009-12-31,25.82,$3.28,7.87
