Live Nation Entertainment PE Ratio Historical Data,Live Nation Entertainment PE Ratio Historical Data,Live Nation Entertainment PE Ratio Historical Data,Live Nation Entertainment PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,95.99,,91.42
2024-03-31,105.77,$1.05,100.73
2023-12-31,93.6,$1.33,70.38
2023-09-30,83.04,$1.46,56.88
2023-06-30,91.11,$1.07,85.15
2023-03-31,70.0,$0.71,98.59
2022-12-31,69.74,$0.57,122.35
2022-09-30,76.04,$0.70,108.63
2022-06-30,82.58,$-0.50,0.0
2022-03-31,117.64,$-2.06,0.0
2021-12-31,119.69,$-3.11,0.0
2021-09-30,91.13,$-4.19,0.0
2021-06-30,87.59,$-6.83,0.0
2021-03-31,84.65,$-8.60,0.0
2020-12-31,73.48,$-8.10,0.0
2020-09-30,53.88,$-6.94,0.0
2020-06-30,44.33,$-3.78,0.0
2020-03-31,45.46,$-0.70,0.0
2019-12-31,71.47,$-0.07,0.0
2019-09-30,66.34,$-0.01,0.0
2019-06-30,66.25,$-0.02,0.0
2019-03-31,63.54,$-0.19,0.0
2018-12-31,49.25,$-0.12,0.0
2018-09-30,54.47,$-0.42,0.0
2018-06-30,48.57,$-0.59,0.0
2018-03-31,42.14,$-0.54,0.0
2017-12-31,42.57,$-0.52,0.0
2017-09-30,43.55,$0.02,2177.5
2017-06-30,34.85,$-0.02,0.0
2017-03-31,30.37,$-0.18,0.0
2016-12-31,26.6,$-0.25,0.0
2016-09-30,27.48,$-0.14,0.0
2016-06-30,23.5,$-0.19,0.0
2016-03-31,22.31,$-0.26,0.0
2015-12-31,24.57,$-0.28,0.0
2015-09-30,24.04,$-0.75,0.0
2015-06-30,27.49,$-0.70,0.0
2015-03-31,25.23,$-0.65,0.0
2014-12-31,26.11,$-0.50,0.0
2014-09-30,24.02,$0.02,1201.0
2014-06-30,24.69,$-0.25,0.0
2014-03-31,21.75,$-0.06,0.0
2013-12-31,19.76,$-0.23,0.0
2013-09-30,18.55,$-0.66,0.0
2013-06-30,15.5,$-0.57,0.0
2013-03-31,12.37,$-0.83,0.0
2012-12-31,9.31,$-0.87,0.0
2012-09-30,8.61,$-0.57,0.0
2012-06-30,9.18,$-0.61,0.0
2012-03-31,9.4,$-0.58,0.0
2011-12-31,8.31,$-0.48,0.0
2011-09-30,8.01,$-0.65,0.0
2011-06-30,11.47,$-0.62,0.0
2011-03-31,10.0,$-0.89,0.0
2010-12-31,11.42,$-1.38,0.0
2010-09-30,9.88,$-0.65,0.0
2010-06-30,10.45,$-0.17,0.0
2010-03-31,14.5,$-0.30,0.0
2009-12-31,8.51,$-0.83,0.0
