Allstate PE Ratio Historical Data,Allstate PE Ratio Historical Data,Allstate PE Ratio Historical Data,Allstate PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,164.84,,36.39
2024-03-31,173.01,$4.53,38.19
2023-12-31,139.15,$-1.24,0.0
2023-09-30,110.03,$-7.93,0.0
2023-06-30,106.82,$-10.35,0.0
2023-03-31,107.68,$-8.87,0.0
2022-12-31,130.86,$-5.32,0.0
2022-09-30,119.42,$-1.42,0.0
2022-06-30,120.69,$2.87,42.05
2022-03-31,131.08,$11.94,10.98
2021-12-31,110.58,$5.10,21.68
2021-09-30,118.81,$10.82,10.98
2021-06-30,121.0,$12.69,9.54
2021-03-31,105.96,$11.29,9.38
2020-12-31,100.64,$17.48,5.76
2020-09-30,85.74,$14.26,6.01
2020-06-30,87.83,$13.35,6.58
2020-03-31,82.61,$11.93,6.92
2019-12-31,100.76,$14.08,7.16
2019-09-30,96.95,$7.94,12.21
2019-06-30,90.27,$7.64,11.82
2019-03-31,83.17,$7.00,11.88
2018-12-31,72.58,$6.61,10.98
2018-09-30,86.7,$9.26,9.36
2018-06-30,79.81,$8.38,9.52
2017-12-31,90.66,$8.37,10.83
2017-09-30,79.29,$7.20,11.01
2017-06-30,75.99,$8.09,9.39
2017-03-31,69.72,$7.91,8.81
2016-12-31,63.12,$6.76,9.34
2018-03-31,82.49,$5.15,16.02
2016-09-30,58.65,$3.70,15.85
2016-06-30,59.02,$3.93,15.02
2016-03-31,56.56,$4.08,13.86
2015-12-31,51.87,$5.04,10.29
2015-09-30,48.42,$5.72,8.46
2015-06-30,53.65,$5.92,9.06
2015-03-31,58.6,$6.52,8.99
2014-12-31,57.6,$6.29,9.16
2014-09-30,50.12,$6.19,8.1
2014-06-30,47.73,$5.11,9.34
2014-03-31,45.77,$4.64,9.87
2013-12-31,43.9,$4.81,9.13
2013-09-30,40.5,$3.86,10.49
2013-06-30,38.35,$4.68,8.19
2013-03-31,38.91,$4.62,8.42
2012-12-31,31.68,$4.68,6.77
2012-09-30,31.07,$5.30,5.86
2012-06-30,27.36,$4.14,6.61
2012-03-31,25.5,$2.09,12.2
2011-12-31,21.09,$1.53,13.78
2011-09-30,18.07,$0.65,27.81
2011-06-30,23.11,$1.01,22.88
2011-03-31,23.89,$2.47,9.67
2010-12-31,23.81,$1.72,13.84
2010-09-30,23.41,$2.13,10.99
2010-06-30,21.16,$1.86,11.38
2010-03-31,23.64,$2.31,10.23
2009-12-31,21.84,$1.58,13.82
