Nordson PE Ratio Historical Data,Nordson PE Ratio Historical Data,Nordson PE Ratio Historical Data,Nordson PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,237.94,,27.83
2024-01-31,250.44,$8.55,29.29
2023-10-31,210.95,$8.46,24.93
2023-07-31,248.93,$8.68,28.68
2023-04-30,213.36,$8.91,23.95
2023-01-31,239.35,$8.58,27.9
2022-10-31,220.74,$8.82,25.03
2022-07-31,225.98,$8.26,27.36
2022-04-30,210.49,$8.23,25.58
2022-01-31,226.43,$8.47,26.73
2021-10-31,247.02,$7.74,31.92
2021-07-31,219.25,$6.17,35.54
2021-04-30,204.59,$5.24,39.04
2021-01-31,172.85,$4.70,36.78
2020-10-31,186.42,$4.27,43.66
2020-07-31,186.23,$5.72,32.56
2020-04-30,154.42,$5.85,26.4
2020-01-31,161.68,$5.85,27.64
2019-10-31,149.79,$5.79,25.87
2019-07-31,134.93,$5.50,24.53
2019-04-30,138.64,$5.49,25.25
2019-01-31,122.84,$3.91,31.42
2018-10-31,115.88,$4.86,23.84
2018-07-31,126.36,$4.76,26.55
2018-04-30,120.88,$4.89,24.72
2018-01-31,134.8,$6.00,22.47
2017-10-31,118.58,$5.08,23.34
2017-07-31,118.58,$5.02,23.62
2017-04-30,116.64,$4.74,24.61
2017-01-31,105.53,$4.86,21.71
2016-10-31,92.85,$4.84,19.18
2016-07-31,81.63,$4.67,17.48
2016-04-30,70.75,$4.01,17.64
2015-10-31,65.19,$3.47,18.79
2015-07-31,67.56,$3.76,17.97
2015-04-30,72.42,$3.34,21.68
2015-01-31,66.06,$3.75,17.62
2014-10-31,69.2,$4.02,17.21
2016-01-31,55.51,$3.43,16.18
2014-07-31,67.77,$3.63,18.67
2014-04-30,66.87,$3.43,19.5
2014-01-31,62.19,$3.31,18.79
2013-10-31,64.51,$3.42,18.86
2013-07-31,64.41,$3.54,18.19
2013-04-30,61.9,$3.56,17.39
2013-01-31,60.09,$3.52,17.07
2012-10-31,52.33,$3.45,15.17
2012-07-31,45.33,$3.22,14.08
2012-04-30,47.55,$3.01,15.8
2012-01-31,39.91,$3.16,12.63
2011-10-31,40.69,$3.25,12.54
2011-07-31,44.64,$3.22,13.89
2011-04-30,49.74,$3.20,15.54
2011-01-31,40.22,$2.72,14.79
2010-10-31,33.91,$2.45,13.87
2010-07-31,27.32,$-1.45,0.0
2010-04-30,31.03,$-1.90,0.0
2010-01-31,24.36,$-2.16,0.0
2009-10-31,22.66,$-2.39,0.0
