Analog Devices PE Ratio Historical Data,Analog Devices PE Ratio Historical Data,Analog Devices PE Ratio Historical Data,Analog Devices PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,232.51,,41.59
2024-01-31,191.46,$5.59,34.25
2023-10-31,155.86,$6.54,23.83
2023-07-31,196.74,$7.36,26.73
2023-04-30,176.52,$5.62,31.41
2023-01-31,167.48,$5.14,32.58
2022-10-31,138.67,$4.75,29.19
2024-04-30,200.61,$3.46,57.98
2022-07-31,166.39,$3.62,45.96
2022-04-30,148.7,$3.53,42.13
2022-01-31,157.19,$3.18,49.43
2021-10-31,165.69,$3.69,44.9
2021-07-31,159.23,$4.57,34.84
2021-04-30,145.06,$4.19,34.62
2021-01-31,138.91,$3.77,36.85
2020-10-31,111.26,$3.28,33.92
2020-07-31,107.25,$2.98,35.99
2020-04-30,101.78,$2.98,34.15
2020-01-31,101.33,$3.24,31.28
2019-10-31,97.99,$3.64,26.92
2019-07-31,107.41,$4.05,26.52
2019-04-30,105.71,$4.09,25.85
2019-01-31,89.45,$3.82,23.42
2018-10-31,75.35,$3.80,19.83
2018-04-30,77.87,$2.83,27.52
2018-01-31,81.49,$2.09,38.99
2017-10-31,80.56,$2.07,38.92
2017-07-31,69.33,$2.09,33.17
2017-04-30,66.49,$2.65,25.09
2017-01-31,65.04,$2.93,22.2
2016-10-31,55.32,$2.76,20.04
2016-07-31,54.72,$2.11,25.93
2016-04-30,47.93,$2.05,23.38
2016-01-31,45.47,$2.15,21.15
2015-10-31,50.42,$2.20,22.92
2015-07-31,48.56,$2.24,21.68
2015-04-30,51.19,$2.13,24.03
2015-01-31,42.84,$2.07,20.69
2014-10-31,40.53,$1.98,20.47
2014-07-31,40.24,$2.28,17.65
2014-04-30,41.3,$2.27,18.19
2014-01-31,38.58,$2.20,17.54
2013-10-31,39.13,$2.14,18.29
2013-07-31,38.91,$2.08,18.71
2013-04-30,34.41,$2.08,16.54
2013-01-31,33.88,$2.09,16.21
2012-10-31,30.15,$2.13,14.15
2012-07-31,29.89,$2.15,13.9
2012-04-30,29.57,$2.30,12.86
2012-01-31,29.45,$2.55,11.55
2011-10-31,27.33,$2.81,9.73
2011-07-31,25.51,$2.94,8.68
2011-04-30,29.71,$2.88,10.31
2011-01-31,28.46,$2.65,10.74
2010-10-31,24.53,$2.33,10.53
2010-07-31,21.48,$1.96,10.96
2010-04-30,21.47,$1.53,14.04
2010-01-31,19.21,$1.16,16.56
2009-10-31,18.14,$0.85,21.35
2009-07-31,19.24,$1.59,12.1
