General Mills PE Ratio Historical Data,General Mills PE Ratio Historical Data,General Mills PE Ratio Historical Data,General Mills PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,68.3,,15.67
2024-02-29,63.64,$4.36,14.6
2023-11-30,62.56,$4.11,15.22
2023-08-31,65.86,$4.10,16.06
2023-05-31,81.29,$4.31,18.86
2023-02-28,76.32,$4.63,16.48
2022-11-30,81.36,$4.79,16.99
2022-08-31,72.73,$4.75,15.31
2022-05-31,65.68,$4.42,14.86
2022-02-28,62.94,$3.75,16.78
2021-11-30,57.23,$3.63,15.77
2021-08-31,53.12,$3.77,14.09
2021-05-31,57.27,$3.78,15.15
2021-02-28,49.71,$4.12,12.06
2020-11-30,54.48,$3.90,13.97
2020-08-31,56.81,$3.74,15.19
2020-05-31,55.56,$3.56,15.61
2020-02-29,42.81,$3.48,12.3
2019-11-30,46.16,$3.48,13.26
2019-08-31,46.15,$3.10,14.89
2019-05-31,42.03,$2.90,14.49
2019-02-28,39.68,$2.55,15.56
2018-11-30,35.2,$3.43,10.26
2018-08-31,37.85,$3.60,10.51
2018-05-31,34.41,$3.64,9.45
2018-02-28,40.68,$3.66,11.12
2017-11-30,45.15,$2.84,15.9
2017-05-31,44.46,$2.77,16.05
2017-02-28,46.91,$2.70,17.37
2016-11-30,46.99,$2.78,16.9
2016-08-31,54.19,$2.57,21.09
2016-05-31,47.72,$2.77,17.23
2017-08-31,42.11,$2.84,14.83
2016-02-29,44.41,$2.45,18.13
2015-11-30,43.24,$2.42,17.87
2015-08-31,42.16,$2.20,19.16
2015-05-31,41.39,$2.15,19.25
2015-02-28,39.34,$2.69,14.62
2014-05-31,39.24,$2.83,13.87
2014-02-28,35.46,$2.73,12.99
2013-11-30,35.46,$2.65,13.38
2013-08-31,34.41,$2.41,14.28
2013-05-31,32.59,$2.53,12.88
2014-11-30,38.28,$2.80,13.67
2013-02-28,31.8,$2.73,11.65
2012-11-30,27.96,$2.71,10.32
2012-08-31,26.61,$2.56,10.39
2012-05-31,25.68,$2.35,10.93
2012-02-29,25.5,$2.34,10.9
2011-11-30,26.39,$2.35,11.23
2011-08-31,24.84,$2.60,9.56
2011-05-31,25.85,$2.54,10.18
2011-02-28,23.95,$2.76,8.68
2010-11-30,22.61,$2.48,9.12
2014-08-31,38.43,$2.04,18.84
2010-08-31,22.97,$2.32,9.9
2010-05-31,22.45,$2.25,10.0
2010-02-28,22.54,$2.47,9.13
2009-11-30,21.14,$2.42,8.75
