Hasbro PE Ratio Historical Data,Hasbro PE Ratio Historical Data,Hasbro PE Ratio Historical Data,Hasbro PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,60.66,,0.0
2023-12-31,49.77,$-10.72,0.0
2023-09-30,63.49,$-4.01,0.0
2023-06-30,61.51,$-2.36,0.0
2023-03-31,50.39,$0.26,193.8
2022-12-31,56.59,$1.44,39.3
2024-03-31,55.88,$2.81,19.89
2022-09-30,61.87,$2.98,20.76
2022-06-30,74.48,$3.88,19.2
2022-03-31,73.93,$2.69,27.48
2021-12-31,91.18,$3.09,29.51
2021-09-30,79.36,$3.26,24.34
2021-06-30,83.51,$3.04,27.47
2021-03-31,84.34,$2.96,28.49
2020-12-31,81.49,$1.61,50.62
2020-09-30,71.48,$2.86,24.99
2020-06-30,64.16,$2.92,21.97
2020-03-31,60.68,$3.28,18.5
2019-12-31,88.98,$4.00,22.25
2019-09-30,99.31,$2.06,48.21
2019-06-30,87.93,$2.45,35.89
2019-03-31,70.27,$2.82,24.92
2018-12-31,66.69,$1.71,39.0
2018-09-30,85.69,$1.60,53.56
2018-06-30,74.78,$1.63,45.88
2018-03-31,67.8,$1.68,40.36
2017-12-31,72.67,$3.12,23.29
2017-09-30,77.61,$4.68,16.58
2017-06-30,88.13,$4.62,19.08
2017-03-31,78.45,$4.50,17.43
2016-12-31,60.76,$4.34,14.0
2016-09-30,61.59,$4.21,14.63
2016-06-30,64.8,$3.82,16.96
2016-03-31,61.43,$3.74,16.43
2015-12-31,51.34,$3.57,14.38
2015-09-30,54.66,$3.52,15.53
2015-06-30,56.35,$3.28,17.18
2015-03-31,47.34,$3.21,14.75
2014-12-31,40.84,$3.98,10.26
2014-09-30,40.54,$4.10,9.89
2014-06-30,38.78,$2.98,13.01
2013-12-31,39.58,$2.67,14.82
2013-09-30,33.66,$2.68,12.56
2013-06-30,31.73,$1.46,21.74
2013-03-31,30.84,$2.42,12.75
2012-12-31,25.2,$2.80,9.0
2014-03-31,40.34,$1.79,22.54
2012-09-30,26.27,$2.61,10.07
2012-06-30,23.09,$2.64,8.74
2012-03-31,24.79,$2.73,9.08
2011-12-31,21.34,$2.87,7.44
2011-09-30,21.65,$2.80,7.73
2011-06-30,28.95,$2.62,11.05
2011-03-31,30.67,$2.49,12.32
2010-12-31,30.71,$2.77,11.09
2010-09-30,28.82,$2.87,10.04
2010-06-30,26.45,$2.77,9.55
2010-03-31,24.48,$2.74,8.94
2009-12-31,20.37,$2.48,8.21
