Northrop Grumman PE Ratio Historical Data,Northrop Grumman PE Ratio Historical Data,Northrop Grumman PE Ratio Historical Data,Northrop Grumman PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,466.43,,34.6
2023-12-31,464.2,$13.48,34.44
2023-09-30,434.76,$30.48,14.26
2023-06-30,448.23,$30.62,14.64
2023-03-31,452.12,$31.17,14.5
2022-12-31,532.31,$31.73,16.78
2024-03-31,476.56,$24.37,19.55
2022-09-30,457.36,$35.19,13.0
2022-06-30,463.72,$35.93,12.91
2022-03-31,431.76,$36.29,11.9
2021-12-31,372.26,$43.62,8.53
2021-09-30,344.84,$28.45,12.12
2021-06-30,346.49,$27.71,12.5
2021-03-31,307.24,$27.30,11.25
2020-12-31,287.85,$19.02,15.13
2020-09-30,296.61,$14.62,20.29
2020-06-30,287.84,$14.22,20.24
2020-03-31,282.04,$13.27,21.25
2019-12-31,319.49,$13.18,24.24
2019-09-30,346.82,$17.67,19.63
2019-06-30,297.93,$18.72,15.91
2019-03-31,247.51,$17.59,14.07
2018-12-31,223.9,$16.74,13.38
2018-09-30,288.83,$15.69,18.41
2018-06-30,278.9,$12.83,21.74
2018-03-31,315.3,$12.05,26.17
2017-12-31,276.29,$10.80,25.58
2017-09-30,258.16,$13.14,19.65
2017-06-30,229.48,$12.31,18.64
2016-12-31,206.34,$12.19,16.93
2016-09-30,189.13,$11.72,16.14
2016-06-30,195.67,$12.00,16.31
2016-03-31,173.47,$11.90,14.58
2015-12-31,164.82,$11.61,14.2
2017-03-31,211.79,$11.53,18.37
2015-09-30,144.25,$10.38,13.9
2015-06-30,137.23,$9.89,13.88
2015-03-31,138.56,$9.52,14.55
2014-12-31,126.34,$9.74,12.97
2014-09-30,112.39,$9.38,11.98
2014-06-30,101.48,$9.26,10.96
2014-03-31,104.06,$8.94,11.64
2013-12-31,96.17,$8.34,11.53
2013-09-30,79.51,$8.36,9.51
2013-06-30,68.66,$8.04,8.54
2013-03-31,57.73,$7.87,7.34
2012-12-31,55.16,$7.80,7.07
2012-09-30,53.76,$7.75,6.94
2012-06-30,51.21,$7.79,6.57
2012-03-31,48.57,$7.72,6.29
2011-12-31,46.12,$7.54,6.12
2011-09-30,40.76,$6.72,6.07
2011-06-30,53.66,$6.53,8.22
2011-03-31,48.15,$7.06,6.82
2010-12-31,44.84,$6.81,6.58
2010-09-30,41.65,$6.85,6.08
2010-06-30,37.08,$6.71,5.53
2010-03-31,44.32,$5.58,7.94
2009-12-31,37.48,$5.22,7.18
