Ameriprise Financial PE Ratio Historical Data,Ameriprise Financial PE Ratio Historical Data,Ameriprise Financial PE Ratio Historical Data,Ameriprise Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,440.97,,15.01
2024-03-31,436.9,$29.38,14.87
2023-12-31,377.2,$23.71,15.91
2023-09-30,326.09,$24.57,13.27
2023-06-30,327.26,$21.29,15.37
2023-03-31,300.59,$19.69,15.27
2022-12-31,304.27,$22.45,13.55
2022-09-30,245.23,$23.98,10.23
2022-06-30,230.27,$27.77,8.29
2022-03-31,289.64,$26.04,11.12
2021-12-31,289.85,$23.07,12.56
2021-09-30,252.85,$18.54,13.64
2021-06-30,237.25,$8.75,27.11
2021-03-31,220.65,$-0.44,0.0
2020-12-31,183.57,$-0.49,0.0
2020-09-30,144.69,$2.12,68.25
2020-06-30,139.96,$6.83,20.49
2019-12-31,153.24,$13.96,10.98
2019-09-30,134.47,$14.19,9.48
2019-06-30,131.75,$26.03,5.06
2019-03-31,116.27,$25.89,4.49
2018-12-31,94.06,$26.17,3.59
2020-03-31,94.79,$26.32,3.6
2018-09-30,132.14,$11.62,11.37
2018-06-30,124.38,$11.43,10.88
2018-03-31,130.67,$10.83,12.07
2017-12-31,148.91,$9.44,15.77
2017-09-30,129.82,$10.72,12.11
2017-06-30,110.64,$8.78,12.6
2017-03-31,112.0,$8.25,13.58
2016-12-31,95.23,$7.82,12.18
2016-09-30,84.92,$7.36,11.54
2016-06-30,75.87,$8.23,9.22
2016-03-31,78.75,$8.49,9.28
2015-12-31,88.41,$8.48,10.43
2015-09-30,90.13,$8.70,10.36
2015-06-30,102.64,$8.70,11.8
2015-03-31,106.92,$8.38,12.76
2014-12-31,107.6,$8.31,12.95
2014-09-30,99.94,$7.55,13.24
2014-06-30,96.72,$7.24,13.36
2014-03-31,88.26,$6.87,12.85
2013-12-31,91.8,$6.44,14.26
2013-09-30,72.3,$6.79,10.65
2013-06-30,63.84,$5.72,11.16
2013-03-31,57.73,$5.17,11.17
2012-12-31,48.76,$4.64,10.51
2012-09-30,43.8,$3.91,11.2
2012-06-30,40.11,$4.25,9.44
2012-03-31,43.56,$4.49,9.7
2011-12-31,37.65,$4.38,8.6
2011-09-30,29.7,$4.48,6.63
2011-06-30,43.33,$4.67,9.28
2011-03-31,45.71,$4.42,10.34
2010-12-31,42.95,$4.29,10.01
2010-09-30,35.2,$4.01,8.78
2010-06-30,26.76,$3.69,7.25
2010-03-31,33.46,$3.12,10.73
2009-12-31,28.51,$2.89,9.87
