Robert Half PE Ratio Historical Data,Robert Half PE Ratio Historical Data,Robert Half PE Ratio Historical Data,Robert Half PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,66.55,,19.93
2024-03-31,78.66,$3.34,23.55
2023-12-31,86.65,$3.87,22.39
2023-09-30,71.8,$4.41,16.28
2023-06-30,73.23,$5.04,14.53
2023-03-31,77.88,$5.64,13.81
2022-12-31,70.94,$6.01,11.8
2022-09-30,73.1,$6.17,11.85
2022-06-30,71.17,$5.97,11.92
2021-12-31,105.07,$5.35,19.64
2021-09-30,94.22,$4.68,20.13
2021-06-30,83.24,$4.67,17.82
2021-03-31,72.73,$4.01,18.14
2020-12-31,57.94,$3.44,16.84
2022-03-31,107.97,$3.39,31.85
2020-09-30,48.84,$2.85,17.14
2020-06-30,48.45,$3.19,15.19
2020-03-31,34.37,$3.76,9.14
2019-12-31,57.16,$3.90,14.66
2019-09-30,50.11,$3.87,12.95
2019-06-30,51.03,$3.81,13.39
2019-03-31,58.01,$3.72,15.59
2018-12-31,50.69,$3.57,14.2
2018-09-30,62.08,$3.00,20.69
2018-06-30,57.21,$2.73,20.96
2018-03-31,50.65,$2.48,20.42
2017-12-31,48.36,$2.32,20.85
2017-09-30,43.64,$2.55,17.11
2017-06-30,41.33,$2.58,16.02
2017-03-31,41.88,$2.65,15.81
2016-12-31,41.63,$2.67,15.59
2016-09-30,32.16,$2.77,11.61
2016-06-30,32.22,$2.79,11.55
2016-03-31,39.11,$2.75,14.22
2015-12-31,39.36,$2.73,14.42
2015-09-30,42.55,$2.65,16.06
2015-06-30,45.99,$2.47,18.62
2014-12-31,48.06,$2.25,21.36
2014-09-30,40.21,$2.12,18.97
2014-06-30,39.03,$2.07,18.86
2014-03-31,34.16,$2.00,17.08
2013-12-31,34.04,$2.01,16.94
2015-03-31,49.98,$1.92,26.03
2013-09-30,31.51,$1.76,17.9
2013-06-30,26.71,$1.69,15.81
2013-03-31,30.03,$1.55,19.38
2012-12-31,25.35,$1.49,17.01
2012-09-30,21.1,$1.37,15.4
2012-06-30,22.51,$1.27,17.73
2012-03-31,23.75,$1.20,19.79
2011-12-31,22.2,$1.04,21.34
2011-09-30,16.46,$0.91,18.08
2011-06-30,20.83,$0.74,28.15
2011-03-31,23.46,$0.57,41.16
2010-12-31,23.36,$0.44,53.09
2010-09-30,19.75,$0.36,54.87
2010-06-30,17.79,$0.28,63.52
2010-03-31,22.86,$0.23,99.41
2009-12-31,19.99,$0.24,83.29
