Accenture PE Ratio Historical Data,Accenture PE Ratio Historical Data,Accenture PE Ratio Historical Data,Accenture PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,300.99,,27.29
2024-02-29,373.3,$11.03,33.84
2023-11-30,330.61,$10.79,30.64
2023-08-31,319.99,$10.77,29.71
2023-05-31,301.28,$11.22,26.85
2023-02-28,260.49,$10.86,23.99
2022-11-30,294.03,$11.01,26.71
2022-08-31,280.59,$10.71,26.2
2022-05-31,289.28,$10.31,28.06
2022-02-28,305.39,$9.92,30.79
2021-11-30,344.5,$9.61,35.85
2021-08-31,323.46,$9.15,35.35
2021-05-31,270.42,$8.94,30.25
2021-02-28,239.72,$8.44,28.4
2020-11-30,237.18,$8.12,29.21
2020-08-31,227.58,$7.89,28.84
2020-05-31,190.55,$7.64,24.94
2020-02-29,169.87,$7.67,22.15
2019-11-30,188.49,$7.49,25.17
2019-08-31,184.9,$7.36,25.12
2019-05-31,166.14,$7.20,23.08
2019-02-28,149.34,$6.87,21.74
2018-11-30,152.25,$6.51,23.39
2018-08-31,155.03,$6.34,24.45
2018-05-31,142.81,$6.24,22.89
2018-02-28,146.33,$5.69,25.72
2017-11-30,134.51,$5.65,23.81
2017-08-31,117.7,$5.44,21.64
2017-05-31,112.04,$5.64,19.86
2017-02-28,109.13,$6.00,18.19
2016-11-30,106.39,$6.75,15.76
2016-08-31,101.39,$6.45,15.72
2016-05-31,104.89,$5.92,17.72
2016-02-29,87.56,$5.75,15.23
2015-11-30,93.64,$4.75,19.71
2015-08-31,81.45,$4.76,17.11
2015-05-31,82.98,$4.69,17.69
2015-02-28,76.97,$4.71,16.34
2014-11-30,73.8,$4.66,15.84
2014-08-31,68.38,$4.52,15.13
2014-05-31,68.71,$4.45,15.44
2014-02-28,69.49,$4.40,15.79
2013-11-30,64.58,$5.02,12.87
2013-08-31,59.45,$4.93,12.06
2013-05-31,67.56,$4.80,14.07
2013-02-28,60.54,$4.62,13.1
2012-11-30,55.3,$3.94,14.04
2012-08-31,49.58,$3.84,12.91
2012-05-31,45.96,$3.87,11.88
2012-02-29,47.42,$3.77,12.58
2011-11-30,46.13,$3.55,13.0
2011-08-31,42.18,$3.40,12.41
2011-05-31,45.17,$3.15,14.34
2011-02-28,40.2,$2.95,13.63
2010-11-30,33.83,$2.80,12.08
2010-08-31,28.3,$2.66,10.64
2010-05-31,29.01,$2.39,12.14
2010-02-28,30.64,$2.34,13.09
2009-11-30,31.46,$2.37,13.27
