Republic Services PE Ratio Historical Data,Republic Services PE Ratio Historical Data,Republic Services PE Ratio Historical Data,Republic Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,186.81,,32.77
2024-03-31,190.9,$5.70,33.49
2023-12-31,164.45,$5.47,30.06
2023-09-30,141.65,$5.17,27.4
2023-06-30,151.68,$4.97,30.52
2023-03-31,133.47,$4.79,27.86
2022-12-31,126.86,$4.69,27.05
2022-09-30,133.28,$4.58,29.1
2022-06-30,127.75,$4.36,29.3
2022-03-31,128.89,$4.22,30.54
2021-12-31,135.18,$4.04,33.46
2021-09-30,116.0,$3.80,30.53
2021-06-30,105.88,$3.51,30.17
2021-03-31,95.26,$3.19,29.86
2020-12-31,91.94,$3.03,30.34
2020-09-30,88.73,$3.19,27.81
2020-06-30,77.64,$3.31,23.45
2020-03-31,70.67,$3.38,20.91
2019-12-31,83.94,$3.33,25.21
2019-09-30,80.69,$3.35,24.09
2019-06-30,80.4,$3.23,24.89
2019-03-31,74.27,$3.16,23.5
2018-12-31,66.3,$3.16,20.98
2018-09-30,66.82,$4.22,15.83
2018-06-30,62.54,$4.07,15.37
2018-03-31,60.29,$3.96,15.23
2017-12-31,61.23,$3.79,16.16
2017-09-30,59.52,$2.36,25.22
2017-06-30,57.12,$1.95,29.29
2017-03-31,56.02,$1.87,29.95
2016-12-31,50.62,$1.77,28.6
2016-09-30,44.52,$1.71,26.03
2016-06-30,44.99,$2.07,21.73
2016-03-31,41.53,$2.09,19.87
2015-12-31,38.1,$2.13,17.89
2015-09-30,35.21,$1.78,19.78
2015-06-30,33.23,$1.69,19.66
2015-03-31,34.16,$1.65,20.7
2014-12-31,33.67,$1.53,22.0
2014-09-30,32.41,$2.04,15.89
2014-06-30,31.32,$1.99,15.74
2014-03-31,27.98,$1.64,17.06
2013-12-31,26.99,$1.61,16.76
2013-09-30,26.91,$1.31,20.54
2013-06-30,27.17,$1.26,21.56
2013-03-31,26.23,$1.51,17.37
2012-12-31,23.15,$1.55,14.93
2012-09-30,21.54,$1.71,12.59
2012-06-30,20.54,$1.81,11.35
2012-03-31,23.52,$1.53,15.37
2011-12-31,21.05,$1.56,13.49
2011-09-30,21.27,$1.43,14.87
2011-06-30,23.2,$1.26,18.41
2011-03-31,22.45,$1.56,14.39
2010-12-31,22.16,$1.32,16.79
2010-09-30,22.48,$1.03,21.83
2010-06-30,21.78,$1.00,21.78
2010-03-31,21.12,$1.17,18.05
2009-12-31,20.47,$1.30,15.75
