Globe Life PE Ratio Historical Data,Globe Life PE Ratio Historical Data,Globe Life PE Ratio Historical Data,Globe Life PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,81.74,,7.81
2024-03-31,116.12,$10.47,11.09
2023-12-31,121.23,$10.08,12.03
2023-09-30,108.07,$9.34,11.57
2023-06-30,108.74,$8.56,12.7
2023-03-31,109.13,$8.11,13.46
2022-12-31,119.13,$7.47,15.95
2022-09-30,98.33,$7.09,13.87
2022-06-30,95.94,$7.03,13.65
2022-03-31,98.81,$7.16,13.8
2021-12-31,91.87,$7.22,12.72
2021-09-30,87.08,$7.39,11.78
2021-06-30,92.98,$7.31,12.72
2021-03-31,94.14,$7.01,13.43
2020-12-31,92.33,$6.83,13.52
2020-09-30,77.51,$6.59,11.76
2020-06-30,71.82,$6.65,10.8
2020-03-31,69.44,$6.70,10.36
2019-12-31,101.38,$6.83,14.84
2019-09-30,92.07,$6.59,13.97
2019-06-30,85.85,$6.32,13.58
2019-03-31,78.49,$6.24,12.58
2018-12-31,71.23,$6.08,11.72
2018-09-30,82.7,$13.34,6.2
2018-06-30,77.51,$13.08,5.93
2018-03-31,79.98,$12.67,6.31
2017-12-31,86.05,$12.29,7.0
2017-09-30,75.84,$4.70,16.14
2017-06-30,72.44,$4.66,15.54
2017-03-31,72.81,$4.61,15.79
2016-12-31,69.44,$4.51,15.4
2016-09-30,60.02,$4.46,13.46
2016-06-30,58.08,$4.36,13.32
2016-03-31,50.76,$4.23,12.0
2015-12-31,53.31,$4.17,12.78
2015-09-30,52.6,$4.23,12.43
2015-06-30,54.17,$4.08,13.28
2015-03-31,50.98,$4.06,12.56
2014-12-31,50.16,$4.10,12.24
2014-09-30,48.26,$4.01,12.05
2014-06-30,50.33,$3.96,12.71
2014-03-31,32.11,$3.94,8.15
2013-12-31,31.88,$3.80,8.39
2013-09-30,29.38,$3.81,7.71
2013-06-30,26.39,$3.77,7.0
2013-03-31,24.15,$3.69,6.55
2012-12-31,20.81,$3.62,5.75
2012-09-30,20.62,$3.40,6.07
2012-06-30,20.24,$3.36,6.03
2012-03-31,19.9,$3.37,5.91
2011-12-31,17.27,$3.18,5.44
2011-09-30,13.83,$3.20,4.33
2011-06-30,16.96,$2.96,5.73
2011-03-31,17.54,$2.75,6.38
2010-12-31,15.68,$2.81,5.58
2010-09-30,13.95,$2.56,5.45
2010-06-30,12.96,$2.47,5.25
2010-03-31,13.96,$2.40,5.81
2009-12-31,11.4,$2.16,5.28
