Dominion Energy PE Ratio Historical Data,Dominion Energy PE Ratio Historical Data,Dominion Energy PE Ratio Historical Data,Dominion Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,52.79,,27.21
2024-03-31,49.19,$1.94,25.36
2023-12-31,46.35,$2.33,19.89
2023-09-30,43.42,$1.96,22.15
2023-06-30,49.65,$2.70,18.39
2023-03-31,52.88,$1.43,36.98
2022-12-31,57.3,$1.09,52.57
2022-09-30,63.88,$2.79,22.9
2022-06-30,73.18,$2.67,27.41
2022-03-31,77.29,$3.58,21.59
2021-12-31,70.87,$3.98,17.81
2021-09-30,65.3,$3.17,20.6
2021-06-30,65.27,$2.79,23.39
2021-03-31,66.84,$1.05,63.66
2020-12-31,65.57,$-0.52,0.0
2020-09-30,68.27,$-0.02,0.0
2020-06-30,69.39,$0.74,93.77
2020-03-31,61.03,$2.20,27.74
2019-12-31,69.22,$1.68,41.2
2019-09-30,66.97,$1.33,50.36
2019-06-30,63.15,$1.46,43.25
2019-03-31,61.87,$2.10,29.46
2018-12-31,56.97,$3.73,15.27
2018-09-30,55.41,$5.01,11.06
2018-06-30,53.14,$4.74,11.21
2018-03-31,51.88,$4.67,11.11
2017-12-31,61.65,$4.91,12.56
2017-09-30,57.98,$3.39,17.1
2017-06-30,57.21,$3.46,16.53
2017-03-31,57.37,$3.57,16.07
2016-12-31,56.09,$3.44,16.31
2016-09-30,53.88,$3.31,16.28
2016-06-30,56.0,$3.21,17.45
2016-03-31,53.46,$3.18,16.81
2015-12-31,47.65,$3.21,14.85
2015-09-30,49.11,$3.03,16.21
2015-06-30,46.24,$2.93,15.78
2015-03-31,48.56,$2.50,19.43
2014-12-31,52.23,$2.24,23.32
2014-09-30,46.54,$2.56,18.18
2014-06-30,47.77,$2.64,18.09
2014-03-31,47.0,$2.72,17.28
2013-12-31,42.46,$2.93,14.49
2013-09-30,40.66,$1.53,26.57
2013-06-30,36.62,$0.91,40.24
2013-03-31,37.11,$1.01,36.74
2012-12-31,32.71,$1.01,32.38
2012-09-30,33.08,$2.02,16.38
2012-06-30,33.41,$2.35,14.22
2012-03-31,31.36,$2.48,12.65
2011-12-31,32.17,$2.44,13.19
2011-09-30,30.48,$2.52,12.1
2011-06-30,28.7,$2.81,10.21
2011-03-31,26.3,$5.21,5.05
2010-12-31,24.86,$4.68,5.31
2010-09-30,25.14,$4.53,5.55
2010-06-30,22.07,$4.55,4.85
2010-03-31,23.14,$2.33,9.93
2009-12-31,21.65,$2.46,8.8
