Vulcan Materials PE Ratio Historical Data,Vulcan Materials PE Ratio Historical Data,Vulcan Materials PE Ratio Historical Data,Vulcan Materials PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,259.25,,37.85
2024-03-31,272.43,$6.85,39.77
2023-12-31,226.22,$6.98,32.41
2023-09-30,200.9,$6.17,32.56
2023-06-30,223.76,$5.43,41.21
2023-03-31,169.91,$4.52,37.59
2022-12-31,173.02,$4.31,40.14
2022-09-30,155.47,$4.45,34.94
2022-06-30,139.77,$4.44,31.48
2022-03-31,180.25,$4.50,40.05
2021-12-31,203.23,$5.01,40.56
2021-09-30,165.31,$4.84,34.16
2021-06-30,169.77,$5.02,33.82
2021-03-31,164.26,$5.14,31.96
2020-12-31,144.04,$4.39,32.81
2020-09-30,131.32,$4.59,28.61
2020-06-30,111.95,$4.71,23.77
2020-03-31,104.08,$4.61,22.58
2019-12-31,138.3,$4.64,29.81
2019-09-30,144.94,$4.51,32.14
2019-06-30,131.3,$4.23,31.04
2019-03-31,112.94,$3.94,28.67
2018-12-31,93.99,$3.85,24.41
2018-09-30,105.5,$5.35,19.72
2018-06-30,122.13,$4.82,25.34
2018-03-31,107.81,$4.52,23.85
2017-12-31,120.94,$4.46,27.12
2017-09-30,112.45,$2.86,39.32
2017-06-30,118.84,$3.09,38.46
2017-03-31,112.8,$3.11,36.27
2016-12-31,116.93,$2.92,40.05
2016-09-30,106.1,$2.74,38.72
2016-06-30,112.09,$2.61,42.95
2016-03-31,98.15,$2.06,47.65
2015-12-31,88.12,$1.62,54.39
2015-09-30,82.68,$1.25,66.15
2015-06-30,77.71,$0.84,92.52
2015-03-31,77.97,$0.83,93.94
2014-12-31,60.72,$1.54,39.43
2014-09-30,55.59,$1.33,41.8
2014-06-30,58.78,$1.14,51.57
2014-03-31,61.22,$1.01,60.62
2013-12-31,54.7,$0.18,303.91
2013-09-30,47.69,$0.14,340.64
2013-06-30,44.55,$-0.06,0.0
2013-03-31,47.57,$-0.42,0.0
2012-12-31,47.88,$-0.40,0.0
2012-09-30,43.5,$-0.65,0.0
2012-06-30,36.51,$-0.61,0.0
2012-03-31,39.28,$-0.53,0.0
2011-12-31,36.16,$-0.55,0.0
2011-09-30,25.32,$-0.70,0.0
2011-06-30,35.14,$-0.75,0.0
2011-03-31,41.32,$-0.88,0.0
2010-12-31,39.97,$-0.77,0.0
2010-09-30,33.05,$-0.51,0.0
2010-06-30,38.98,$-0.18,0.0
2010-03-31,41.8,$0.21,199.04
2009-12-31,46.34,$0.22,210.66
